ASIN,Product Name,Brand,Category,Verdict,Composite Score,Current Price,FBA Fee,Est ROI %,Existing Account Found,Existing Account Name,Trade Price Found,Trade Price,Real ROI %,ROI Change,Route Code,Supplier Name,Supplier Website,Supplier Contact,MOQ,Notes,Outreach Email File
B0GQGQN88N,"Lhysn Tennis Racket Storage Rack Stand, Tennis Racket Holder, Tennis Racquet Storage Rack, Tennis Racket Stand Durable and Storable, for Gymnasium Tennis Club (White)",Lhysn,Sports & Outdoors,MAYBE,7.1,GBP39.99,GBP3.54,13.6%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0FVFDZMNX,adidas Racket Padel Control 3.2 Black,adidas,Sports & Outdoors,MAYBE,7.7,GBP40.49,GBP3.93,12.3%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0CD824C2J,YONEX Badminton KITBAG SUNR 23015 BT5 (Black Yellow),YONEX,Sports & Outdoors,MAYBE-ROI,6.8,GBP44.49,GBP4.65,11.4%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B00I14X9PU,"WILSON FBA_wrz601403 Advantage II Tennis Bag-Black/White, 2 Racquet",Wilson,Sports & Outdoors,MAYBE-ROI,6.8,GBP39.95,GBP4.65,9.3%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B085QMVTBX,HEAD TOUR XT TENNIS BALL PREMIUM PERFORMANCE TENNIS BALLS,HEAD,Sports & Outdoors,BRAND APPROACH,6.5,GBP29.95,GBP3.26,9.5%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B06XGNX9D9,"Callaway FT Launch Zone Golf Hitting Mat with Rubber Backing Golf Putting Mat, Green, 1' x 2'",Izzo,Sports & Outdoors,MAYBE,7.6,GBP44.60,GBP4.65,11.5%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0DGXS1ZCB,"SPORTNOW 5M Portable Badminton Set, Height Adjustable Tennis Volleyball Net with 3 Shuttlecocks, 4 Rackets and with Carry Bag, Multi-Sports Badminton Net for Indoor Outdoor, Garden, Beach Games",SPORTNOW,Sports & Outdoors,MAYBE-ROI,6.7,GBP39.96,GBP5.40,6.4%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B08DKYPBBH,"Wilson Tour Slam Adults Tennis Racket - Grey/Green (Grip 3 (4 3/8""))",Wilson,Sports & Outdoors,BRAND APPROACH,7.4,GBP38.99,GBP4.65,8.8%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B01BOU7868,Wilson Advantage Team Triple Racket Bag - Red,Wilson,Sports & Outdoors,MAYBE,7.1,GBP39.95,GBP4.50,9.9%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0DFQBWF8X,Wilson POWER ULTRA 112 XL Tennis Racket 24PK Blue/White L2,Wilson,Sports & Outdoors,MAYBE,7.0,GBP36.95,GBP4.50,8.3%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0DWTBDK55,Hy-Pro Table Tennis Set with Bats – Complete Ping Pong Set with 3 Star Table Tennis Balls and 4 Multi-ply Bats - Ideal Ping Pong Bat Kit with Portable Paddle Carry Case for Home or Outdoor Play,Hy-Pro,Sports & Outdoors,MAYBE-ROI,6.8,GBP26.60,GBP3.49,5.6%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0FQK28Y6X,"Carlton Nanomax Pro Ti Badminton Set, 4 Player Set with Rackets, Carry Cover, Shuttles, Net & Posts for instant play.",Carlton,Sports & Outdoors,BRAND APPROACH,6.6,GBP38.99,GBP4.65,8.8%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B083DWLRWD,"Vermont Training Tennis Balls – ITF Approved Mini Red (Stage 3), Pack of 12",Vermont,Sports & Outdoors,YES,8.7,GBP24.99,GBP0.00,25.5%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B012WAQVYE,NITTAKU 3-stars Premium 40+ Table Tennis Ball (Pack of 12 balls),NITTAKU,Sports & Outdoors,MAYBE,7.7,GBP32.47,GBP2.94,12.6%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
