ASIN,Product Name,Brand,Amazon URL,Category,Weight Flag,Verdict,Verdict Reason,Opportunity Lane,Commercial Priority,Lane Reason,Composite Score,Demand Score,Stability Score,Competition Score,Margin Score,Cash Flow Score,Profit Score,Balanced Score,Monthly Gross Profit,Price Compression,Listing Quality,Current Price,Buy Box 90d Avg,Price Stability,Fulfilment Fee,Amazon Fees,Total Amazon Fees,Est Cost 65%,Est Profit,Est ROI %,Max Cost 20% ROI,Breakeven Price,BSR Current,BSR Drops 90d,Bought per Month,Star Rating,Review Count,Brand 1P,FBA Seller Count,Amazon on Listing,Amazon Buy Box Share,Private Label Risk,Brand Seller Match,Fortress Listing,Brand Type,A+ Content Present,Brand Store Present,Category Risk Level,IP Risk Score,IP Risk Band,IP Reason,Gated,SAS Flags,Route Code,Supplier Name,Supplier Website,Supplier Contact,MOQ,Trade Price Found,Trade Price,Real ROI %,Supplier Notes,Outreach Email File,EAN,UPC,GTIN,Private Label Exclusion Reason
B082NMQ1PN,"Stoie's Wooden Toddler Musical Instruments with Drum, Hand Bells, Flute, Maracas, Castanet, Tamburine, for Babies and Kids, Eco Friendly Montessori Educational Toy",Stoie's,https://www.amazon.co.uk/dp/B082NMQ1PN,Toys & Games,,MAYBE-ROI,CASH FLOW | 242/mo | GBP2.36 profit | GBP571.10 monthly gross | stable | 2 sellers,CASH FLOW,1,CASH FLOW | GBP571.10/mo | 242/mo | GBP2.36 unit profit | stable | 2 sellers,6.8,10,8,7,0,7.8,3.7,6.1,GBP571,OK,STRONG,GBP31.99,GBP30.44,RISING (5%),GBP3.15,GBP5.69,GBP8.84,GBP20.79,GBP2.36,11.3%,GBP19.29,GBP29.63,13686,121,100,4.6,6697,Y,2,N,0%,Likely,YES,NO,ESTABLISHED,YES,LIKELY,HIGH,7,High,Brand=Seller match (YES) | Established brand | A+ content | Likely brand store | Category HIGH risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,4897101400145,,,Brand 1P | Brand seller match | Brand store likely | Established brand
B0G533WL97,Gibsons Beside the Seaside 4 x 500 Piece Jigsaw Puzzle Set for Adults – Four Charming Summer Seaside Scenes by Trevor Mitchell – Family Beach Holiday Theme – Premium Multi‑Box Puzzle Collection,Gibsons,https://www.amazon.co.uk/dp/B0G533WL97,Toys & Games,,MAYBE,BALANCED | 124/mo | GBP4.42 profit | GBP548.10 monthly gross | stable | 3 sellers,BALANCED,2,BALANCED | GBP548.10/mo | 124/mo | GBP4.42 unit profit | stable | 3 sellers,8.0,10,10,5,5,8.1,7,7.3,GBP548,OK,STRONG,GBP26.45,GBP26.54,STABLE,GBP0.00,GBP4.84,GBP4.84,GBP17.19,GBP4.42,25.7%,GBP18.01,GBP22.03,15931,62,50,4.1,7,Y,3,N,0%,Likely,YES,NO,GENERIC,YES,LIKELY,HIGH,6,Medium,Brand=Seller match (YES) | A+ content | Likely brand store | Category HIGH risk,-,,UNCLEAR,,,,,N,,,No supplier accounts configured,,5012269050714,,,Brand 1P | Brand seller match | Brand store likely
B0D22WB565,UGEARS Wood Dragon 3D Puzzle - Model Building Kits Puzzle Box with Secret Drawer - Chinese 3D Dragon Wooden Puzzles for Adults Hobbies for Men - Wooden Model Kits For Adults to Build for Christmas,UGears,https://www.amazon.co.uk/dp/B0D22WB565,Toys & Games,,MAYBE-ROI,CASH FLOW | 126/mo | GBP0.65 profit | GBP81.90 monthly gross | stable | 3 sellers,CASH FLOW,3,CASH FLOW | GBP81.90/mo | 126/mo | GBP0.65 unit profit | stable | 3 sellers,6.6,10,8,6,0,7,1.1,4.4,GBP82,OK,STRONG,GBP20.99,GBP20.40,RISING (3%),GBP2.70,GBP3.99,GBP6.69,GBP13.64,GBP0.65,4.8%,GBP11.92,GBP20.34,18949,63,50,4.5,1782,Y,3,N,0%,Likely,YES,NO,ESTABLISHED,YES,LIKELY,HIGH,7,High,Brand=Seller match (YES) | Established brand | A+ content | Likely brand store | Category HIGH risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,4820184122253,,,Brand 1P | Brand seller match | Brand store likely | Established brand
B0C5WZXZNY,"EDUMAN Break Open 10 Premium Geodes with Crystals - STEM Educational Geology Science Kit, Real Crystal Geodes Kits for Toys Gifts Kids Boys & Girls",EDUMAN,https://www.amazon.co.uk/dp/B0C5WZXZNY,Toys & Games,,MAYBE,MAYBE | 126/mo | GBP0.25 profit | GBP31.50 monthly gross | stable | 2 sellers | ROI 2%,UNASSIGNED,9,,7.1,9,10,7,0,6.7,1.4,4.1,GBP32,OK,STRONG,GBP20.69,GBP21.41,SLIGHT DIP (3%),GBP3.05,GBP3.94,GBP6.99,GBP13.45,GBP0.25,1.9%,GBP11.42,GBP20.44,22314,63,50,4.1,388,Y,2,N,0%,Likely,YES,NO,SYNTHETIC,YES,LIKELY,HIGH,6,Medium,Brand=Seller match (YES) | A+ content | Likely brand store | Category HIGH risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,,,,Brand 1P | Brand seller match | Brand store likely
