ASIN,Title,Brand,Amazon URL,Category,Weight Flag,Current Price,Buy Box 90d Avg,Price Drop % 90d,BSR Current,BSR 90d Avg,BSR Drops 90d,Bought per Month,FBA Seller Count,FBA Seller 90d Avg,Amazon on Listing,Fulfilment Fee,Amazon Fees,Total Amazon Fees,Est Cost 65%,Est Profit,Est ROI %,Max Cost 20% ROI,Breakeven Price,Buy Box Amazon %,BB Seller,BB Is FBA,Star Rating,Review Count,Image Count,Has A+ Content,Bullet Count,Listing Quality,Brand 1P,Gated,SAS Flags,Pre-filter Flags,Data Source,EAN,UPC,GTIN
B0F3P5WWVQ,"Learning Resources Numberblock Seven Playful Pal Plush, Numbers for Toddlers, Preschool Maths Learning Toys, Stuffed Animal Plushies, Counting Blocks Stuffies, Kids Birthday Gifts, Ages 18 months+",Learning Resources,https://www.amazon.co.uk/dp/B0F3P5WWVQ,Toys & Games,,23.49,21.75,-8.0%,27168,12603,59,100,8,0,Y,3.71,4.37,8.08,15.27,0.14,0.9%,12.84,23.35,70%,Home Essence Ltd (91%) / A3EOEZWEPXN9YI,no,4.9,143,10,Y,5,STRONG,N,-,MAYBE-ROI,AMAZON CHECK,KEEPA,5055506414658,,
B06XY3C366,"CRAYOLA Mega Activity Tub - Including Crayons, Markers, Pencils, Pens, Paints, Clays, Colouring Book and Stickers | Kids Arts sand Crafts | Ideal for Kids Aged 4+",CRAYOLA,https://www.amazon.co.uk/dp/B06XY3C366,Toys & Games,,20.08,20.40,2.0%,27545,12053,113,50,10,0,Y,3.49,3.85,7.34,13.05,-0.31,-2.4%,10.62,20.39,100%,Amazon,yes,4.7,1220,4,N,3,AVERAGE,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK,KEEPA,5025123112343,,05025123112343
B00G7G4EPI,Revell 04909 Apollo Saturn V 1:144 Scale Unbuilt/Unpainted Plastic Model Kit,Revell,https://www.amazon.co.uk/dp/B00G7G4EPI,Toys & Games,,33.95,29.20,-16.0%,29420,40614,49,50,15,0,Y,3.49,5.99,9.48,22.07,2.41,10.9%,20.39,31.54,68%,Jadlam Toys & Models (91%) / A1B1VEBCSCJ,no,4.6,1989,7,Y,5,STRONG,N,-,MAYBE-ROI,PRICE CHECK; AMAZON CHECK,KEEPA,"0736126890903, 0840306949098, 4009803049090, 9631534593334","736126890903, 840306949098, 885129118153",04009803049090
B0BXB6XL3D,"Learning Resources Hot Dots Numberblocks 11–20 Activity Book & Interactive Pen, Ages 5+, Numberblocks Gifts, Interactive Maths Toy, Gifts For Kids",Educational Insights,https://www.amazon.co.uk/dp/B0BXB6XL3D,Toys & Games,,23.34,21.62,-8.0%,29798,24109,54,50,7,0,Y,2.94,4.35,7.29,15.17,0.87,5.8%,13.37,22.47,96%,Amazon,yes,4.5,561,8,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK,KEEPA,0086002025517,086002025517,00086002025517
B0FV97Y7G1,"Learning Resources Numberblocks Sing and Record Music Player, Ages 3+, Educational Musical Toy with Microphone, Songs, Counting & Early Maths Fun",Learning Resources,https://www.amazon.co.uk/dp/B0FV97Y7G1,Toys & Games,,26.95,26.32,-2.0%,29803,29320,35,50,2,0,Y,3.04,4.91,7.95,17.52,1.48,8.4%,15.83,25.47,94%,Amazon,yes,4.9,11,7,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK; LOW SELLER CHECK,KEEPA,5055506415075,,
B01BM615O0,"Spirograph Deluxe Set | Create Amazing Endless Designs | Including The Iconic Precision Parts, Pens & Spiro-Putty | Features Durable Storage Case | Creative Arts & Crafts Activity | For Ages 8+",Spirograph,https://www.amazon.co.uk/dp/B01BM615O0,Toys & Games,,26.99,31.47,14.0%,30983,22543,89,50,4,0,Y,3.06,4.92,7.98,17.54,1.47,8.4%,15.85,25.52,39%,BeadBlaze (99%) / A24MJCHPLE8DZP,yes,4.7,2503,4,Y,5,AVERAGE,N,-,MAYBE-ROI,AMAZON CHECK,KEEPA,"0819441010017, 8056379995159",819441010017,08056379995159
B01BSJWIVK,"VTech Baby Laptop Toy, Multicolor, 28 x 5.3 x 22 cm",VTech,https://www.amazon.co.uk/dp/B01BSJWIVK,Toys & Games,,22.99,21.77,-6.0%,31736,22888,46,50,13,0,Y,3.48,4.30,7.78,14.94,0.27,1.8%,12.67,22.72,99%,Amazon,yes,4.7,1319,5,Y,5,AVERAGE,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK,KEEPA,3417761912034,,03417761912034
B00HT5HBMO,"Learning Resources Recordable Answer Buzzers – Set of 4, Ages 3+, Game Show Buzzers, Recordable Buttons, Personalised Sound Toy, Family Game Night",Learning Resources,https://www.amazon.co.uk/dp/B00HT5HBMO,Toys & Games,,26.43,26.05,-1.0%,31902,38474,47,50,5,0,Y,2.94,4.83,7.77,17.18,1.48,8.6%,15.55,24.95,78%,Amazon,yes,4.0,27382,7,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK,KEEPA,0765023837698,765023837698,00765023837698
B000296LR0,"Learning Resources The Original Three Bear Family Basic Four Colour Counter Set (Set of 80) Compare Bears Maths Counters, Classroom Supplies to Learn Counting, Sorting, Size-grading & Mass Comparison",Learning Resources,https://www.amazon.co.uk/dp/B000296LR0,Toys & Games,,20.95,20.95,0.0%,32156,29307,41,50,2,0,Y,3.06,3.98,7.04,13.62,0.29,2.1%,11.59,20.66,94%,Amazon,yes,4.5,882,4,Y,5,AVERAGE,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK; LOW SELLER CHECK,KEEPA,"0765023003772, 0858160437071, 0885358513521, 0885563128947, 4166002621790, 5711008941350","765023003772, 858160437071, 885358513521, 885563128947",00765023003772
B0DJPJKC7W,"Science Mad - Build Your Own Renewable Energy Electric Car Kit for Kids - Explore Principles of Sustainable Transport - Use Hand Powered Generator or 360 Degree Solar Panel, STEM, 8+ Years",Science Mad,https://www.amazon.co.uk/dp/B0DJPJKC7W,Toys & Games,,20.00,17.81,-12.0%,33029,53806,45,50,2,0,Y,3.35,3.84,7.19,13.00,-0.19,-1.4%,10.68,20.19,89%,Amazon,yes,5.0,3,10,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,PRICE CHECK; AMAZON CHECK; LOW SELLER CHECK,KEEPA,5060062146134,,
B00ISQKHTM,"4M Crystal Growing Experimental Kit | A Science and Chemistry Kit for Kids Ages 14+ | Grow your own Crystals, Large",4M,https://www.amazon.co.uk/dp/B00ISQKHTM,Toys & Games,,23.99,23.84,-1.0%,33795,29667,63,50,3,0,N,3.04,4.46,7.50,15.59,0.90,5.8%,13.75,23.09,0%,Bigjigs Toys (89%) / A2F7H5XWMN77FR,yes,4.4,2764,9,Y,5,STRONG,N,-,MAYBE-ROI,,KEEPA,"4893156039156, 0756907947770, 0798257694423, 0734548008920","756907947770, 734548008920, 798257694423",04893156039156
B01CNYY3WQ,"GIOTTO Turbo Maxi Super Washable Felt Tip Fibre Pens, Large Tip Nib 5mm, Schoolpack, 108 x Assorted Colours, For Children, Parties and Schools",GIOTTO,https://www.amazon.co.uk/dp/B01CNYY3WQ,Toys & Games,,35.48,35.66,1.0%,38853,31452,42,50,2,0,Y,3.48,6.22,9.70,23.06,2.72,11.8%,21.48,32.76,98%,Amazon,yes,4.7,638,3,Y,5,AVERAGE,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK; LOW SELLER CHECK,KEEPA,"8000825005855, 8000825009310",,"08000825005855, 08000825009310"
B088PF3H2S,"Learning Resources Sorting Surprise Pirate Treasure, Ages 3+, Colour Sorting Toy, Unlock Fine Motor Skills & Matching Fun, Gifts For Kids",Learning Resources,https://www.amazon.co.uk/dp/B088PF3H2S,Toys & Games,,24.29,23.93,-2.0%,55361,31535,47,50,5,0,Y,3.04,4.50,7.54,15.79,0.96,6.1%,13.96,23.33,47%,Home Essence Ltd (91%) / A3EOEZWEPXN9YI,no,4.5,2056,6,Y,5,STRONG,N,-,MAYBE-ROI,AMAZON CHECK,KEEPA,0765023068085,765023068085,00765023068085
B09SP3TK8G,"Learning Resources Maths Island Addition & Subtraction Game, Educational Games, for 6 Year olds, Teaching Toys, Children’s, Age 6+, LER5025, Multicolor",Learning Resources,https://www.amazon.co.uk/dp/B09SP3TK8G,Toys & Games,,20.50,20.51,0.0%,46208,33839,43,50,5,0,Y,3.06,3.92,6.98,13.33,0.20,1.5%,11.27,20.30,98%,Amazon,yes,4.7,959,7,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK,KEEPA,0765023050257,765023050257,00765023050257
B075CVZ4KY,"BAD PEOPLE Party Game + After Dark Expansion Set - Hilarious Adult Card Game for White Elephant Parties, Stocking Stuffers and Board Games Night with Friends",BAD PEOPLE,https://www.amazon.co.uk/dp/B075CVZ4KY,Toys & Games,,24.99,24.99,0.0%,46765,19676,71,50,3,0,Y,3.04,4.61,7.65,16.24,1.10,6.8%,14.45,23.89,0%,DYCE GAMES (100%) / A3R84Y81PCASRS,yes,4.4,8162,8,Y,5,STRONG,N,-,MAYBE-ROI,AMAZON CHECK,KEEPA,"0866157000320, 4882126243426",,00866157000320
B073CYDDPN,"Peppa Pig Laugh and Learn Alphaphonics Interactive Toy Multicolor, PP03SB",Peppa Pig,https://www.amazon.co.uk/dp/B073CYDDPN,Toys & Games,,21.19,21.09,0.0%,49573,27345,58,50,6,0,Y,2.94,4.02,6.96,13.77,0.45,3.3%,11.86,20.74,95%,Home Essence Ltd (91%) / A3EOEZWEPXN9YI,no,4.3,894,7,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK,KEEPA,5060062143652,,05060062143652
B07D4RN9NH,AODE forCrayola 50ct Twistables Colored Pencils,CRAYOLA,https://www.amazon.co.uk/dp/B07D4RN9NH,Toys & Games,,24.30,25.15,3.0%,50109,42200,51,50,6,0,N,2.16,4.51,6.67,15.80,1.84,11.6%,14.70,22.46,0%,NEO-ONE KENT LTD (100%) / A2UIB8UTEDUKTP,yes,4.7,28049,7,N,4,AVERAGE,N,-,MAYBE-ROI,,KEEPA,0071662074067,071662074067,00071662074067
B00KH52EKC,"Learning Resources Bulk Play Money Pack, Play Money for Kids, Plastic UK Coins Set, Ages 3 +",Learning Resources,https://www.amazon.co.uk/dp/B00KH52EKC,Toys & Games,,37.68,36.82,-2.0%,54731,38470,43,50,4,0,Y,3.04,6.57,9.61,24.49,3.58,14.6%,23.40,34.10,74%,Amazon,yes,4.4,52,6,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK,KEEPA,0765023518009,765023518009,00765023518009
