ASIN,Title,Brand,Amazon URL,Category,Weight Flag,Current Price,Buy Box 90d Avg,Price Drop % 90d,BSR Current,BSR 90d Avg,BSR Drops 90d,Bought per Month,FBA Seller Count,FBA Seller 90d Avg,Amazon on Listing,Fulfilment Fee,Amazon Fees,Total Amazon Fees,Est Cost 65%,Est Profit,Est ROI %,Max Cost 20% ROI,Breakeven Price,Buy Box Amazon %,BB Seller,BB Is FBA,Star Rating,Review Count,Image Count,Has A+ Content,Bullet Count,Listing Quality,Brand 1P,Gated,SAS Flags,Pre-filter Flags,Data Source,EAN,UPC,GTIN
B0FD49LNLY,"Clementoni Smart-Tech Greenhouse – Interactive STEM Plant Science Kit with Sensors, LCD Screen and Growth Modes for Kids 8+",Clementoni,https://www.amazon.co.uk/dp/B0FD49LNLY,Toys & Games,,29.95,29.76,-1.0%,13826,35221,77,50,6,0,Y,3.93,5.37,9.30,19.47,1.18,6.1%,17.21,28.77,87%,Home Essence Ltd (91%) / A3EOEZWEPXN9YI,no,4.8,40,10,N,4,AVERAGE,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK,KEEPA,8005125751440,,
B0006SK3WG,"John Adams Hot Wires | Plug & Play Electronics Set With 100 Experiments | Perfect For Children Ages 8+ | Make, Experiment & Play With This Science & STEM Toy | Batteries Not Included | Easy To Use",John Adams,https://www.amazon.co.uk/dp/B0006SK3WG,Toys & Games,,49.99,48.01,-4.0%,13893,11713,133,100,5,0,Y,3.48,8.47,11.95,32.49,5.55,17.1%,31.70,44.44,84%,Amazon,yes,4.6,2749,7,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK,KEEPA,"5015335034120, 5052615022514",,05015335034120
B0DFWQ6N2K,PUZZLE POTATO Tesla Puzzle Box - Electronic Brain Teaser Puzzle for Adults - Wooden Treasure Chest - Money Puzzlebox for Cash Gift - Escape Room Game in a Box,PUZZLE POTATO,https://www.amazon.co.uk/dp/B0DFWQ6N2K,Toys & Games,,59.90,58.50,-2.0%,13943,17891,78,50,3,0,N,3.06,10.00,13.06,38.94,7.90,20.3%,39.03,52.00,0%,Wisteria GmbH (91%) / A3QCYH4NUQE4C6,yes,4.7,529,11,Y,5,STRONG,N,-,,,KEEPA,4260598030650,,
B00B2FO6IE,"Learning Resources All About Me Family Counters, Ages 3+, Maths Sorting Toy, Colour Recognition, Counting Skills, Gifts for Kids",Learning Resources,https://www.amazon.co.uk/dp/B00B2FO6IE,Toys & Games,,21.50,20.69,-4.0%,15011,23424,49,100,9,0,Y,3.06,4.07,7.13,13.97,0.39,2.8%,11.97,21.11,96%,Amazon,yes,4.6,3718,6,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK,KEEPA,"0044968298598, 0635665067442, 0696732622995, 0765023833720, 0783329391133, 0885459983155, 8944143004131, 9789920130851","044968298598, 635665067442, 696732622995, 765023833720, 783329391133, 885459983155",00765023833720
B00LU09HO4,Playmags 150 Pcs Magnetic Tiles Set for Kids - Colorful Stronger Magnets - 3D Magnetic Building Blocks - STEM Creative Construction Toys - Magnet Tiles For Kids,Playmags,https://www.amazon.co.uk/dp/B00LU09HO4,Toys & Games,,47.99,51.24,6.0%,15832,27550,42,50,5,0,Y,3.56,8.16,11.72,31.19,5.08,16.3%,30.23,42.91,0%,Best Toys 4 U (98%) / A12V6C4YTTCRM3,yes,4.6,2520,7,Y,5,STRONG,N,-,MAYBE-ROI,AMAZON CHECK,KEEPA,0086138104605,086138104605,00086138104605
B0G533WL97,Gibsons Beside the Seaside 4 x 500 Piece Jigsaw Puzzle Set for Adults – Four Charming Summer Seaside Scenes by Trevor Mitchell – Family Beach Holiday Theme – Premium Multi‑Box Puzzle Collection,Gibsons,https://www.amazon.co.uk/dp/B0G533WL97,Toys & Games,,26.45,26.54,0.0%,15931,23207,62,50,3,0,N,0.00,4.84,4.84,17.19,4.42,25.7%,18.01,22.03,0%,GIBSONS GAMES (97%) / A2QXKEOD5X5N8Z,no,4.1,7,9,Y,5,STRONG,Y,-,,,KEEPA,5012269050714,,
B00G5L61JM,Arsenal Emirates Stadium 3D Puzzle,Megableu,https://www.amazon.co.uk/dp/B00G5L61JM,Toys & Games,,23.43,23.52,0.0%,16447,11201,97,100,17,0,N,2.94,4.36,7.30,15.23,0.90,5.9%,13.44,22.53,0%,budget gifts (100%) / A1T55PVJTC9Z6G,yes,4.6,613,6,Y,5,STRONG,N,-,MAYBE-ROI,,KEEPA,5012822037350,,05012822037350
B0DPYWZ124,"Telescope for Adults Beginners, 70mm Aperture 400mm AZ Mount Fully Multi-Coated Optics Refractor Portable Telescopes, Travel Telescope with Tripod Phone Adapter (White)",EACONN,https://www.amazon.co.uk/dp/B0DPYWZ124,Toys & Games,,59.99,57.37,-5.0%,16567,18158,19,50,2,0,N,3.49,10.01,13.50,38.99,7.50,19.2%,38.74,52.49,0%,Inter-Stellar (100%) / A2GVQZWFO6MVGV,yes,4.3,315,8,Y,5,STRONG,N,-,MAYBE-ROI,LOW SELLER CHECK,KEEPA,,,
B01B14XK00,"Learning Resources Code & Go Robot Mouse, Ages 4+, Screen-Free Coding Toy, STEM Learning for Kids, Includes 30 Coding Cards, Gifts For Kids",Learning Resources,https://www.amazon.co.uk/dp/B01B14XK00,Toys & Games,,33.95,33.62,-1.0%,16654,17104,58,50,7,0,Y,3.00,5.99,8.99,22.07,2.90,13.1%,20.80,31.05,97%,Amazon,yes,4.5,1665,8,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK,KEEPA,0765023028416,765023028416,00765023028416
B0GF9N7D7K,The House of Puzzles | Going Places | 4x 500 Piece Jigsaw Puzzles | Transport Theme | 13 x 19 in | FSC Certified Board,The House of Puzzles,https://www.amazon.co.uk/dp/B0GF9N7D7K,Toys & Games,,26.99,24.79,-9.0%,17382,28100,30,50,2,0,N,3.48,4.92,8.40,17.54,1.05,6.0%,15.49,25.94,0%,Bigjigs Toys (89%) / A2F7H5XWMN77FR,no,4.8,30,8,Y,5,STRONG,N,-,MAYBE-ROI,LOW SELLER CHECK,KEEPA,5060002008249,,
B0F3PBJZQG,"Learning Resources Numberblock Ten Playful Pal Plush, Numbers for Toddlers, Preschool Maths Learning Toys, Stuffed Animal Plushies, Counting Blocks Stuffies, Kids Birthday Gifts, Ages 18 months+",Learning Resources,https://www.amazon.co.uk/dp/B0F3PBJZQG,Toys & Games,,29.94,29.16,-3.0%,17779,29399,50,50,6,0,Y,3.49,5.37,8.86,19.46,1.62,8.3%,17.57,28.32,54%,Kiddimax - Free Next Day Delivery (90%) ,no,4.5,88,8,Y,5,STRONG,N,-,MAYBE-ROI,AMAZON CHECK,KEEPA,5055506414719,,
B00AQURFUW,"Learning Resources All About Me 2-in-1 Mirrors, Ages 18+ Months, Toddler Mirror Toy, Builds Self-Awareness & Emotional Skills",Learning Resources,https://www.amazon.co.uk/dp/B00AQURFUW,Toys & Games,,30.96,30.80,-1.0%,17798,20649,67,100,10,0,Y,3.04,5.53,8.57,20.12,2.27,11.3%,18.66,28.69,24%,Amazon,yes,4.4,701,7,Y,5,STRONG,N,-,MAYBE-ROI,AMAZON CHECK,KEEPA,0765023033717,765023033717,00765023033717
