SKU,"Product Name",Brand,"New In","HS Code",Barcode,Origin,Availability,Price,URL
SCS55692,"Serene Freesia (Unisex 100ml EDP) Face Facts (2979) (72979-150)","Face Facts",No,"HS 33030010","EAN 5031413972979",China,"in stock",3.35,https://store.shure-cosmetics.co.uk/serene-freesia-unisex-100ml-edp-face-facts-2979-72979-150
SCS19656,"Serene Gold (Ladies 35ml EDT) Lilyz (4647) (CZ9722-44)",Lilyz,No,"HS 3303.0010","EAN 5060616904647",China,"in stock",0.95,https://store.shure-cosmetics.co.uk/serene-gold-ladies-35ml-edt-lilyz-4647-cz9722-44
SCS20052,"Serene Purple (Ladies 35ml EDT) Lilyz (4630) (CZ9723-43)",Lilyz,No,"HS 3303.0010","EAN 5060616904630",China,"in stock",0.95,https://store.shure-cosmetics.co.uk/serene-purple-ladies-35ml-edt-lilyz-4630-cz9723-43
SCS55082,"Sexy Amber (Ladies 100ml EDP) Michael Kors (9655)","Michael Kors",No,"HS 33030090","UPC 022548289655",Italy,"in stock",25.95,https://store.shure-cosmetics.co.uk/sexy-amber-ladies-100ml-edp-michael-kors-9655
SCS07671,"Sexy Dentelle (Ladies 100ml EDP) Real Time (FRRT047) (8576)","Real Time",No,"HS 3303.0010","EAN 8715658008576",Netherlands,"in stock",2.25,https://store.shure-cosmetics.co.uk/sexy-dentelle-ladies-100ml-edp-real-time-frrt047-8576-bc
SCS46886,"Sexy Dentelle Rouge Edition (Ladies 100ml EDP) Real Time (FRRT071) (9771)","Real Time",No,"HS 33030010","EAN 8715658009771",Netherlands,"in stock",2.25,https://store.shure-cosmetics.co.uk/sexy-dentelle-rouge-edition-ladies-100ml-edp-real-qa
SCS23725,"Sexy To Someone (Ladies 100ml EDP) Linn Young (FRLY209) (1513)","Linn Young",No,"HS 33030090","EAN 8715658401513",France,"in stock",4.25,https://store.shure-cosmetics.co.uk/sexy-to-someone-ladies-100ml-edp-linn-young-frly209-af
SCS21625,"Shades Wood (Mens 100ml EDP) Sterling - Armaf (4953) ML.A/10",Armaf,No,"HS 3303.0010","EAN 6085010094953",France,"in stock",15.25,https://store.shure-cosmetics.co.uk/shades-wood-mens-100ml-edp-sterling-armaf-4953-ml-a-pl
SCS21589,"Shadha Air Freshener (300ml) Al-Rehab (6950) CC/30",Al-Rehab,No,"HS 3307.4900","EAN 6291110006950","United Arab Emirates","in stock",1.45,https://store.shure-cosmetics.co.uk/shadha-air-freshener-300ml-al-rehab-6950-cc-30
SCS61680,"Shafaq Intense (Unisex 100ml EDP) Manasik (5844)",Manasik,No,"HS 33030010","EAN 8439627645844",India,"in stock",1.95,https://store.shure-cosmetics.co.uk/shafaq-intense-unisex-100ml-edp-manasik-5844
SCS61363,"Shagaf Al Ward (Ladies 100ml EDP) Al Wataniah (7720)","Al Wataniah",No,"HS 33030090","EAN 5055810007720",U.A.E,"in stock",9.75,https://store.shure-cosmetics.co.uk/shagaf-al-ward-ladies-100ml-edp-al-wataniah-7720
SCS16543,"Shaikh Zayed Musk (Unisex 100ml EDP) Al-Fakhr (0935)","Al-Fakhr Perfumes",No,"HS 3303.0010","EAN 8439627600935",India,"out of stock",1.95,https://store.shure-cosmetics.co.uk/shaikh-zayed-musk-unisex-100ml-edp-al-fakhr-0935-arab-hz
SCS15214,"Shaikh Zayed Oud (Unisex 100ml EDP) Al-Fakhr (0942)","Al-Fakhr Perfumes",No,"HS 3303.0010","EAN 8439627600942",India,"out of stock",1.95,https://store.shure-cosmetics.co.uk/shaikh-zayed-oud-unisex-100ml-edp-al-fakhr-0942-arab-xd
