ASIN,Product Name,Brand,Amazon URL,Category,Weight Flag,Verdict,Verdict Reason,Opportunity Lane,Commercial Priority,Lane Reason,Composite Score,Demand Score,Stability Score,Competition Score,Margin Score,Cash Flow Score,Profit Score,Balanced Score,Monthly Gross Profit,Price Compression,Listing Quality,Current Price,Buy Box 90d Avg,Price Stability,Fulfilment Fee,Amazon Fees,Total Amazon Fees,Est Cost 65%,Est Profit,Est ROI %,Max Cost 20% ROI,Breakeven Price,BSR Current,BSR Drops 90d,Bought per Month,Star Rating,Review Count,Brand 1P,FBA Seller Count,Amazon on Listing,Amazon Buy Box Share,Private Label Risk,Brand Seller Match,Fortress Listing,Brand Type,A+ Content Present,Brand Store Present,Category Risk Level,IP Risk Score,IP Risk Band,IP Reason,Gated,SAS Flags,Route Code,Supplier Name,Supplier Website,Supplier Contact,MOQ,Trade Price Found,Trade Price,Real ROI %,Supplier Notes,Outreach Email File,EAN,UPC,GTIN
B0FT73SNK1,"TYCOLE Flowers Bouquet Building Set - Purple Roses Botanical Collection Building Blocks for Adult Women, Artificial Flowers Gothic Home Decor Christmas Birthday Gift for Adults Kids Girls 6-12",TYCOLE,https://www.amazon.co.uk/dp/B0FT73SNK1,Toys & Games,,MAYBE,CASH FLOW | 126/mo | GBP1.29 profit | GBP162.50 monthly gross | SQUEEZED | 2 sellers,CASH FLOW,2,CASH FLOW | GBP162.50/mo | 126/mo | GBP1.29 unit profit | SQUEEZED | 2 sellers,7.5,9,10,9,0,9,2.8,6.8,GBP163,SQUEEZED,STRONG,GBP25.99,GBP29.92,DROPPING (13%),GBP3.04,GBP4.76,GBP7.80,GBP16.89,GBP1.29,7.6%,GBP15.15,GBP24.70,26750,63,100,4.4,32,N,2,N,0%,Unlikely,NO,NO,SYNTHETIC,YES,UNLIKELY,HIGH,2,Low,A+ content | Category HIGH risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,,,
B0FK7HLT4C,"MAX Build More Premium Fuggler Collection 4 Pack by ZURU - Novelty Unboxing Toy & Building Brick Collectible Minis with up to 167 Pieces, Fun Designs to Build & Display, Ages 8+, Kids, Teens & Adults.",Max Build More,https://www.amazon.co.uk/dp/B0FK7HLT4C,Toys & Games,,MAYBE-ROI,CASH FLOW | 100/mo | GBP1.57 profit | GBP157.00 monthly gross | stable | 2 sellers,CASH FLOW,2,CASH FLOW | GBP157.00/mo | 100/mo | GBP1.57 unit profit | stable | 2 sellers,6.9,9,10,6,0,7.9,2.6,5.9,GBP157,OK,STRONG,GBP29.99,GBP29.99,STABLE,GBP3.54,GBP5.38,GBP8.92,GBP19.49,GBP1.57,8.1%,GBP17.56,GBP28.42,20909,40,100,5.0,33,N,2,Y,100%,Unlikely,NO,NO,GENERIC,YES,UNLIKELY,HIGH,2,Low,A+ content | Category HIGH risk,-,MAYBE-ROI; AMAZON DOMINANT,UNCLEAR,,,,,N,,,No supplier accounts configured,,0193052093707,193052093707,
B09J17B7X7,"Friday Night Dinner 1454 Jim 24cm Talking Plush, Interactive Free Standing Soft Toy, Age 15 Years+ (Recommended due to Language Content)",Friday Night Dinner,https://www.amazon.co.uk/dp/B09J17B7X7,Toys & Games,,MAYBE,CASH FLOW | 154/mo | GBP0.90 profit | GBP138.60 monthly gross | stable | 2 sellers,CASH FLOW,2,CASH FLOW | GBP138.60/mo | 154/mo | GBP0.90 unit profit | stable | 2 sellers,7.5,9,10,9,0,9.5,2.9,7.1,GBP139,OK,AVERAGE,GBP23.98,GBP24.56,STABLE,GBP3.04,GBP4.45,GBP7.49,GBP15.59,GBP0.90,5.8%,GBP13.74,GBP23.08,20676,77,100,4.8,47,N,2,N,0%,Unlikely,NO,NO,GENERIC,YES,UNLIKELY,HIGH,2,Low,A+ content | Category HIGH risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,5055069718088,,
B003KKH9OW,"Douglas 4009 Dogs Border Collie Plush Toy, 20 cm Long",Douglas,https://www.amazon.co.uk/dp/B003KKH9OW,Toys & Games,,MAYBE-ROI,CASH FLOW | 160/mo | GBP0.85 profit | GBP136.00 monthly gross | stable | 7 sellers,CASH FLOW,2,CASH FLOW | GBP136.00/mo | 160/mo | GBP0.85 unit profit | stable | 7 sellers,6.8,10,10,4,0,9,2.7,6.8,GBP136,OK,WEAK,GBP23.20,GBP24.17,SLIGHT DIP (4%),GBP2.94,GBP4.33,GBP7.27,GBP15.08,GBP0.85,5.6%,GBP13.27,GBP22.35,15352,80,100,4.1,1156,N,7,N,0%,-,NO,NO,ESTABLISHED,NO,UNLIKELY,HIGH,2,Low,Established brand | Category HIGH risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,"0767548120279, 0789264257268, 9044712112089","767548120279, 789264257268",00767548120279
B0G52DTC9W,"Dress To Impress — Bubblegum Gal Fashion Doll — Series 1 Wave 1, Pink",Dress To Impress,https://www.amazon.co.uk/dp/B0G52DTC9W,Toys & Games,,MAYBE-ROI,MAYBE-ROI | 100/mo | GBP0.81 profit | GBP81.00 monthly gross | COMPRESSED | 3 sellers | needs trade under GBP13.12,UNASSIGNED,4,UNASSIGNED | below lane thresholds,6.8,10,10,4,0,6.2,1.2,4.1,GBP81,COMPRESSED,STRONG,GBP22.99,GBP29.26,DROPPING (21%),GBP2.94,GBP4.30,GBP7.24,GBP14.94,GBP0.81,5.4%,GBP13.12,GBP22.18,11550,41,100,3.8,4,N,3,Y,100%,-,NO,NO,GENERIC,YES,UNLIKELY,HIGH,2,Low,A+ content | Category HIGH risk,-,MAYBE-ROI; AMAZON DOMINANT,UNCLEAR,,,,,N,,,No supplier accounts configured,,0810087214241,810087214241,
B0DTRC2HT4,"A Gentle Rain – Calming Tile-Laying Puzzle Game – Mindful Solo, 2-Player, or Cooperative Play in 15 Minutes – Soft-Touch Tiles & Wooden Blossoms – Compact, Giftable, Family-Friendly Board Game",Incredible Dream,https://www.amazon.co.uk/dp/B0DTRC2HT4,Toys & Games,,MAYBE-ROI,MAYBE-ROI | 130/mo | GBP0.55 profit | GBP71.50 monthly gross | COMPRESSED | 8 sellers | needs trade under GBP12.38,UNASSIGNED,4,UNASSIGNED | below lane thresholds,6.8,10,10,4,0,7.4,0.7,4.8,GBP72,COMPRESSED,AVERAGE,GBP22.00,GBP27.99,DROPPING (21%),GBP3.00,GBP4.15,GBP7.15,GBP14.30,GBP0.55,3.9%,GBP12.38,GBP21.45,12993,65,100,4.7,157,N,8,N,0%,-,NO,NO,GENERIC,NO,UNLIKELY,HIGH,1,Low,Category HIGH risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,0850052382032,850052382032,
B0D1GFRXWK,"Jelly Blox 2-in-1 Storage Kit - Includes 30 Blocks - Toddler & Preschool Building Blocks Kids Can Squeeze, Stretch, Squish - Safety Tested & Ouch-Free - Tactile, Sensory Play Toy for Ages 2 Plus",Jelly Blox,https://www.amazon.co.uk/dp/B0D1GFRXWK,Toys & Games,,MAYBE-ROI,MAYBE-ROI | 316/mo | GBP0.45 profit | GBP142.20 monthly gross | SQUEEZED | 7 sellers | needs trade under GBP13.37,UNASSIGNED,9,,6.8,10,10,4,0,8.3,1.2,5.6,GBP142,SQUEEZED,AVERAGE,GBP23.99,GBP28.03,DROPPING (14%),GBP3.49,GBP4.46,GBP7.95,GBP15.59,GBP0.45,2.9%,GBP13.37,GBP23.54,10398,158,200,4.5,389,N,7,Y,44%,-,NO,NO,GENERIC,YES,UNLIKELY,HIGH,2,Low,A+ content | Category HIGH risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,8720077316935,,08720077316935
B0788XV9JM,Peaceable Kingdom Monkey Around First Game for Toddlers Interactive Play with Parent Ages 2+,Peaceable Kingdom,https://www.amazon.co.uk/dp/B0788XV9JM,Toys & Games,,MAYBE,MAYBE | 210/mo | GBP0.49 profit | GBP102.90 monthly gross | stable | 2 sellers | ROI 4%,UNASSIGNED,9,,7.8,10,10,9,0,9.2,2,6.3,GBP103,OK,STRONG,GBP21.88,GBP21.88,STABLE,GBP3.04,GBP4.12,GBP7.16,GBP14.22,GBP0.49,3.5%,GBP12.26,GBP21.39,12386,105,100,4.7,3248,N,2,N,0%,Unlikely,NO,NO,ESTABLISHED,YES,UNLIKELY,HIGH,3,Low,Established brand | A+ content | Category HIGH risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,0643356057641,643356057641,
B0CJMKK3SX,My Little Pony: Tell Your Tale Rainbow Styles Izzy Moonbow Unicorn Toys,Hasbro,https://www.amazon.co.uk/dp/B0CJMKK3SX,Toys & Games,,MAYBE-ROI,MAYBE-ROI | 144/mo | GBP0.49 profit | GBP70.60 monthly gross | SQUEEZED | 7 sellers | needs trade under GBP12.86,UNASSIGNED,9,,6.6,10,10,3,0,7.7,1.2,5.2,GBP71,SQUEEZED,AVERAGE,GBP22.99,GBP25.76,DROPPING (11%),GBP3.26,GBP4.30,GBP7.56,GBP14.94,GBP0.49,3.2%,GBP12.86,GBP22.50,11579,72,100,4.7,424,N,7,Y,50%,-,NO,NO,ESTABLISHED,NO,UNLIKELY,HIGH,2,Low,Established brand | Category HIGH risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,5010996247094,,
B0BN6PZFG2,"​Thomas & Friends Toy Train Tracks Set, Connect & Build Bucket, 34-Piece Expansion Pack for Diecast & Motorized Trains, Kids Ages 3+ Years, HNP81",THOMAS & FRIENDS,https://www.amazon.co.uk/dp/B0BN6PZFG2,Toys & Games,,MAYBE,MAYBE | 280/mo | GBP0.20 profit | GBP56.00 monthly gross | stable | 3 sellers | ROI 1%,UNASSIGNED,9,,7.0,10,8,8,0,8.2,1.7,5.6,GBP56,OK,STRONG,GBP22.98,GBP22.20,RISING (4%),GBP3.54,GBP4.30,GBP7.84,GBP14.94,GBP0.20,1.4%,GBP12.62,GBP22.78,15754,140,100,4.8,870,N,3,Y,1%,-,NO,NO,ESTABLISHED,YES,UNLIKELY,HIGH,3,Low,Established brand | A+ content | Category HIGH risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,0194735147380,194735147380,00194735147380
B00J06GN5Q,"Peter Rabbit Jack in the Box, 14.5 x 14.5 x 15.5 centimeters, Blue",Rainbow Designs,https://www.amazon.co.uk/dp/B00J06GN5Q,Toys & Games,,MAYBE-ROI,MAYBE-ROI | 294/mo | GBP0.16 profit | GBP47.00 monthly gross | SQUEEZED | 5 sellers | needs trade under GBP12.32,UNASSIGNED,9,,6.6,10,10,3,0,6,0.6,3.6,GBP47,SQUEEZED,STRONG,GBP22.49,GBP25.33,DROPPING (11%),GBP3.49,GBP4.22,GBP7.71,GBP14.62,GBP0.16,1.1%,GBP12.32,GBP22.33,13098,147,100,4.6,1630,N,5,Y,90%,-,NO,NO,ESTABLISHED,YES,UNLIKELY,HIGH,3,Low,Established brand | A+ content | Category HIGH risk,-,MAYBE-ROI; AMAZON DOMINANT,UNCLEAR,,,,,N,,,No supplier accounts configured,,"5055458334882, 0798256334313, 5014475012319, 0736126230211, 0796629274426, 5060475098501, 0791159831910","736126230211, 791159831910, 798256334313, 796629274426","00798256334313, 05014475012319"
B0080EWI5S,Thomas & Friends Kids Ride On Toys for 1+ years Boys and Girls - Sit and Ride On Thomas the Tank Engine Toy with Steering Wheel - Easy Assembly Toddler Walker Toy - Outdoor and Indoor Push Along Car,THOMAS & FRIENDS,https://www.amazon.co.uk/dp/B0080EWI5S,Toys & Games,,MAYBE-ROI,MAYBE-ROI | 116/mo | GBP0.31 profit | GBP36.00 monthly gross | stable | 4 sellers | needs trade under GBP17.31,UNASSIGNED,9,,6.6,10,8,6,0,7.8,1.6,5.3,GBP36,OK,AVERAGE,GBP31.48,GBP30.61,RISING (3%),GBP5.10,GBP5.61,GBP10.71,GBP20.46,GBP0.31,1.5%,GBP17.31,GBP31.17,20876,58,100,4.2,1057,N,4,N,31%,-,NO,NO,ESTABLISHED,NO,UNLIKELY,HIGH,2,Low,Established brand | Category HIGH risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,"5017915707608, 5017915707615, 5054242373212",,"05017915707608, 05017915707615"
B07BVDHMFN,Living Nature German Shepherd Soft Toy | Fluffy Dog Animal | Soft Toy Gift for Kids | 21 cm,Keycraft,https://www.amazon.co.uk/dp/B07BVDHMFN,Toys & Games,,MAYBE-ROI,MAYBE-ROI | 190/mo | GBP0.07 profit | GBP13.30 monthly gross | stable | 2 sellers | needs trade under GBP11.97,UNASSIGNED,9,,6.6,10,8,6,0,5.5,1.1,3.2,GBP13,OK,STRONG,GBP21.99,GBP21.11,RISING (4%),GBP3.48,GBP4.15,GBP7.63,GBP14.29,GBP0.07,0.5%,GBP11.97,GBP21.92,19816,95,100,4.7,1720,N,2,Y,99%,Unlikely,NO,NO,ESTABLISHED,YES,UNLIKELY,HIGH,3,Low,Established brand | A+ content | Category HIGH risk,-,MAYBE-ROI; AMAZON DOMINANT,UNCLEAR,,,,,N,,,No supplier accounts configured,,5037832309013,,05037832309013
B000NKN71G,Animal Jack In a Box (Styles May Vary),Tobar,https://www.amazon.co.uk/dp/B000NKN71G,Toys & Games,,MAYBE-ROI,MAYBE-ROI | 146/mo | GBP-0.19 profit | GBP-27.70 monthly gross | stable | 6 sellers | needs trade under GBP11.02,UNASSIGNED,9,,6.6,10,10,3,0,5.6,1.4,3.5,GBP-28,OK,AVERAGE,GBP20.64,GBP22.67,SLIGHT DIP (9%),GBP3.48,GBP3.94,GBP7.42,GBP13.42,GBP-0.19,-1.4%,GBP11.02,GBP20.83,17705,73,100,4.4,416,N,6,Y,57%,-,NO,NO,GENERIC,NO,UNLIKELY,HIGH,1,Low,Category HIGH risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,5038728049334,,05038728049334
B07691S7YL,"Power Play Pool Table Game, Portable Wooden Classic Games Table, Indoor Outdoor Game for Kids and Adults, Brown 20inch",Power Play,https://www.amazon.co.uk/dp/B07691S7YL,Toys & Games,,MAYBE,MAYBE | 202/mo | GBP-1.15 profit | GBP-232.30 monthly gross | stable | 2 sellers | Amazon BB 90%,UNASSIGNED,9,,7.2,10,10,6,0,5.3,1.3,3,GBP-232,OK,STRONG,GBP22.50,GBP22.53,STABLE,GBP4.80,GBP4.23,GBP9.03,GBP14.63,GBP-1.15,-7.9%,GBP11.23,GBP23.65,11629,101,100,4.4,187,N,2,Y,90%,Unlikely,NO,NO,GENERIC,YES,UNLIKELY,HIGH,2,Low,A+ content | Category HIGH risk,-,MAYBE-ROI; AMAZON DOMINANT,UNCLEAR,,,,,N,,,No supplier accounts configured,,5031470209117,,05031470209117
