ASIN,Product Name,Brand,Amazon URL,Category,Weight Flag,Verdict,Verdict Reason,Opportunity Lane,Commercial Priority,Lane Reason,Composite Score,Demand Score,Stability Score,Competition Score,Margin Score,Cash Flow Score,Profit Score,Balanced Score,Monthly Gross Profit,Price Compression,Listing Quality,Current Price,Buy Box 90d Avg,Price Stability,Fulfilment Fee,Amazon Fees,Total Amazon Fees,Est Cost 65%,Est Profit,Est ROI %,Max Cost 20% ROI,Breakeven Price,BSR Current,BSR Drops 90d,Bought per Month,Star Rating,Review Count,Brand 1P,FBA Seller Count,Amazon on Listing,Amazon Buy Box Share,Private Label Risk,Brand Seller Match,Fortress Listing,Brand Type,A+ Content Present,Brand Store Present,Category Risk Level,IP Risk Score,IP Risk Band,IP Reason,Gated,SAS Flags,Route Code,Supplier Name,Supplier Website,Supplier Contact,MOQ,Trade Price Found,Trade Price,Real ROI %,Supplier Notes,Outreach Email File,EAN,UPC,GTIN
B0FN49MJQG,"Lankybox Mystery Lock Box Mystery Surprise Giant Blind Box, 16 Fun Surprises Inside, Official LankyBox Merch",LankyBox,https://www.amazon.co.uk/dp/B0FN49MJQG,Toys & Games,,MAYBE-ROI,CASH FLOW | 204/mo | GBP1.62 profit | GBP330.50 monthly gross | stable | 5 sellers,CASH FLOW,1,CASH FLOW | GBP330.50/mo | 204/mo | GBP1.62 unit profit | stable | 5 sellers,6.6,10,10,3,0,7.6,2.4,5.7,GBP331,OK,STRONG,GBP29.99,GBP33.22,SLIGHT DIP (10%),GBP3.49,GBP5.38,GBP8.87,GBP19.49,GBP1.62,8.3%,GBP17.60,GBP28.37,12254,102,100,4.6,26,N,5,Y,80%,-,NO,NO,GENERIC,YES,UNLIKELY,HIGH,2,Low,A+ content | Category HIGH risk,-,MAYBE-ROI; AMAZON DOMINANT,UNCLEAR,,,,,N,,,No supplier accounts configured,,0810054667636,810054667636,
B004S2BPJG,WWE Action Figure Accessory: (Set of 5 Wrestling Props),Figures Toy Company,https://www.amazon.co.uk/dp/B004S2BPJG,Toys & Games,,MAYBE-ROI,CASH FLOW | 116/mo | GBP2.83 profit | GBP328.30 monthly gross | stable | 7 sellers,CASH FLOW,1,CASH FLOW | GBP328.30/mo | 116/mo | GBP2.83 unit profit | stable | 7 sellers,6.8,10,10,4,0,9.1,4.3,7.5,GBP328,OK,AVERAGE,GBP33.31,GBP35.16,SLIGHT DIP (5%),GBP2.94,GBP5.89,GBP8.83,GBP21.65,GBP2.83,13.1%,GBP20.40,GBP30.48,20051,58,100,4.5,4715,N,7,N,0%,-,NO,NO,ESTABLISHED,NO,UNLIKELY,HIGH,2,Low,Established brand | Category HIGH risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,0728028084771,728028084771,
B001I912SQ,"SKLZ Pro Mini Basketball Hoop, Spring-Action Break-Away Rim, 45.7 x 30.5 cm, Clear Shatter-Proof Backboard - Includes 12.7 cm Mini Basketball, Perfect for Home, Office, or Dorm Room Practice and Fun",SKLZ,https://www.amazon.co.uk/dp/B001I912SQ,Toys & Games,,MAYBE,CASH FLOW | 138/mo | GBP2.17 profit | GBP299.50 monthly gross | stable | 2 sellers,CASH FLOW,1,CASH FLOW | GBP299.50/mo | 138/mo | GBP2.17 unit profit | stable | 2 sellers,7.2,10,10,6,0,7.9,3,6.1,GBP300,OK,STRONG,GBP34.99,GBP36.17,SLIGHT DIP (3%),GBP3.93,GBP6.15,GBP10.08,GBP22.74,GBP2.17,9.5%,GBP20.76,GBP32.82,13836,69,100,4.3,33715,N,2,Y,98%,Unlikely,NO,NO,ESTABLISHED,YES,UNLIKELY,HIGH,3,Low,Established brand | A+ content | Category HIGH risk,-,MAYBE-ROI; AMAZON DOMINANT,UNCLEAR,,,,,N,,,No supplier accounts configured,,0831345004015,831345004015,00831345004015
B0F2YZJQHL,"TYCOLE Vintage Pendulum Clock Building Block Set, Stem Toy with Real Clock Function and Linkable Mechanical Pendulum, Unique Home Decoration and Collectible for Adults&Kids 6+",TYCOLE,https://www.amazon.co.uk/dp/B0F2YZJQHL,Toys & Games,,MAYBE,CASH FLOW | 128/mo | GBP2.06 profit | GBP263.70 monthly gross | SQUEEZED | 2 sellers,CASH FLOW,1,CASH FLOW | GBP263.70/mo | 128/mo | GBP2.06 unit profit | SQUEEZED | 2 sellers,7.5,9,10,9,0,9.1,4,7.3,GBP264,SQUEEZED,STRONG,GBP29.99,GBP33.57,DROPPING (11%),GBP3.05,GBP5.38,GBP8.43,GBP19.49,GBP2.06,10.6%,GBP17.96,GBP27.93,27724,64,100,4.2,185,N,2,N,0%,Unlikely,NO,NO,SYNTHETIC,YES,UNLIKELY,HIGH,2,Low,A+ content | Category HIGH risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,,,
B0D952JGZG,Transformers Studio Series Voyager Class The Movie Constructicon Scrapper Action Figure,Transformers,https://www.amazon.co.uk/dp/B0D952JGZG,Toys & Games,,MAYBE,CASH FLOW | 122/mo | GBP2.07 profit | GBP252.50 monthly gross | stable | 5 sellers,CASH FLOW,1,CASH FLOW | GBP252.50/mo | 122/mo | GBP2.07 unit profit | stable | 5 sellers,7.0,10,10,5,0,8.5,4.1,6.9,GBP253,OK,AVERAGE,GBP29.99,GBP32.17,SLIGHT DIP (7%),GBP3.04,GBP5.38,GBP8.42,GBP19.49,GBP2.07,10.6%,GBP17.97,GBP27.92,14694,61,100,4.8,648,N,5,Y,67%,-,NO,NO,ESTABLISHED,NO,UNLIKELY,HIGH,2,Low,Established brand | Category HIGH risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,5010996301185,,
B08MV5F531,"JOYIN 160 PCS Washable Sidewalk Chalks Set Non-Toxic Jumbo Chalk for Outdoor Art Play, Painting on Chalkboard, Blackboard and Playground",JOYIN,https://www.amazon.co.uk/dp/B08MV5F531,Toys & Games,,MAYBE,CASH FLOW | 104/mo | GBP1.98 profit | GBP205.90 monthly gross | stable | 2 sellers,CASH FLOW,1,CASH FLOW | GBP205.90/mo | 104/mo | GBP1.98 unit profit | stable | 2 sellers,7.2,10,8,9,0,9.3,4,7.3,GBP206,OK,STRONG,GBP26.99,GBP25.75,RISING (5%),GBP3.38,GBP4.08,GBP7.46,GBP17.54,GBP1.98,11.3%,GBP16.27,GBP25.01,16533,52,100,4.8,4021,N,2,N,0%,Unlikely,NO,NO,ESTABLISHED,YES,UNLIKELY,HIGH,3,Low,Established brand | A+ content | Category HIGH risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,0840165815268,840165815268,
B0D2PH8RV5,Magna-Tiles MicroMAGS 46-Piece Combi Set,Magna-Tiles,https://www.amazon.co.uk/dp/B0D2PH8RV5,Toys & Games,,MAYBE,CASH FLOW | 120/mo | GBP3.80 profit | GBP456.00 monthly gross | SQUEEZED | 3 sellers,CASH FLOW,2,CASH FLOW | GBP456.00/mo | 120/mo | GBP3.80 unit profit | SQUEEZED | 3 sellers,7.2,10,10,5,1,7.4,4,6.3,GBP456,SQUEEZED,AVERAGE,GBP39.96,GBP45.72,DROPPING (13%),GBP3.26,GBP6.92,GBP10.18,GBP25.97,GBP3.80,14.6%,GBP24.82,GBP36.16,11164,60,100,4.7,241,N,3,Y,94%,-,NO,NO,GENERIC,NO,UNLIKELY,HIGH,1,Low,Category HIGH risk,-,MAYBE-ROI; AMAZON DOMINANT,UNCLEAR,,,,,N,,,No supplier accounts configured,,0850025176453,850025176453,
B07ZS7J192,"Tonka Steel Classics | Mighty Dump Truck | Kids Construction Toys for Boys and Girls, Vehicle Toys for Creative Play, Motor Skill Development for Kids Ages 3+ | Basic Fun 06087 FFP",Tonka,https://www.amazon.co.uk/dp/B07ZS7J192,Toys & Games,,MAYBE-ROI,CASH FLOW | 210/mo | GBP2.13 profit | GBP447.30 monthly gross | SQUEEZED | 4 sellers,CASH FLOW,2,CASH FLOW | GBP447.30/mo | 210/mo | GBP2.13 unit profit | SQUEEZED | 4 sellers,6.6,10,10,3,0,7.2,3.2,5.7,GBP447,SQUEEZED,STRONG,GBP31.99,GBP35.80,DROPPING (11%),GBP3.38,GBP5.69,GBP9.07,GBP20.79,GBP2.13,10.2%,GBP19.10,GBP29.86,11480,105,100,4.8,7671,N,4,Y,91%,-,NO,NO,ESTABLISHED,YES,UNLIKELY,HIGH,3,Low,Established brand | A+ content | Category HIGH risk,-,MAYBE-ROI; AMAZON DOMINANT,UNCLEAR,,,,,N,,,No supplier accounts configured,,0885561060874,885561060874,00885561060874
B07N8BWL4D,"Scalextric G1150M My First Scalextric Racing Track Sets for Kids Ages 3+ - Mains Powered Micro Race Set, Toy Car Kits for Boys. Incl. 1x Speed Track, 2x Racing Cars, 2x Controllers - Kids Toys Gifts",Scalextric,https://www.amazon.co.uk/dp/B07N8BWL4D,Toys & Games,,MAYBE,CASH FLOW | 302/mo | GBP1.29 profit | GBP389.60 monthly gross | SQUEEZED | 3 sellers,CASH FLOW,2,CASH FLOW | GBP389.60/mo | 302/mo | GBP1.29 unit profit | SQUEEZED | 3 sellers,7.0,10,10,5,0,7.3,2.1,5.3,GBP390,SQUEEZED,STRONG,GBP35.00,GBP39.34,DROPPING (11%),GBP4.80,GBP6.16,GBP10.96,GBP22.75,GBP1.29,5.7%,GBP20.04,GBP33.71,10857,151,100,4.4,2310,N,3,Y,89%,-,NO,NO,ESTABLISHED,YES,UNLIKELY,HIGH,3,Low,Established brand | A+ content | Category HIGH risk,-,MAYBE-ROI; AMAZON DOMINANT,UNCLEAR,,,,,N,,,No supplier accounts configured,,5055286654213,,05055286654213
B0FKM878QV,"MAX Build More Premium Retro Series 2 4 Pack by ZURU – Novelty Unboxing Toy & Building Brick Collectible Minis with up to 674 Pieces, 4 Retro Designs to Build & Display, Ages 8+, Kids, Teens & Adults",Max Build More,https://www.amazon.co.uk/dp/B0FKM878QV,Toys & Games,,MAYBE,CASH FLOW | 122/mo | GBP1.57 profit | GBP191.50 monthly gross | stable | 2 sellers,CASH FLOW,2,CASH FLOW | GBP191.50/mo | 122/mo | GBP1.57 unit profit | stable | 2 sellers,7.2,10,10,6,0,7.9,2.6,5.9,GBP192,OK,STRONG,GBP29.99,GBP29.99,STABLE,GBP3.54,GBP5.38,GBP8.92,GBP19.49,GBP1.57,8.1%,GBP17.56,GBP28.42,15494,61,100,4.9,27,N,2,Y,99%,Unlikely,NO,NO,GENERIC,YES,UNLIKELY,HIGH,2,Low,A+ content | Category HIGH risk,-,MAYBE-ROI; AMAZON DOMINANT,UNCLEAR,,,,,N,,,No supplier accounts configured,,0193052089144,193052089144,
