ASIN,Product Name,Brand,Category,Verdict,Composite Score,Current Price,FBA Fee,Est ROI %,Existing Account Found,Existing Account Name,Trade Price Found,Trade Price,Real ROI %,ROI Change,Route Code,Supplier Name,Supplier Website,Supplier Contact,MOQ,Notes,Outreach Email File
B07N8BWL4D,"Scalextric G1150M My First Scalextric Racing Track Sets for Kids Ages 3+ - Mains Powered Micro Race Set, Toy Car Kits for Boys. Incl. 1x Speed Track, 2x Racing Cars, 2x Controllers - Kids Toys Gifts",Scalextric,Toys & Games,MAYBE,7.0,GBP35.00,GBP4.80,5.7%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0FKM878QV,"MAX Build More Premium Retro Series 2 4 Pack by ZURU – Novelty Unboxing Toy & Building Brick Collectible Minis with up to 674 Pieces, 4 Retro Designs to Build & Display, Ages 8+, Kids, Teens & Adults",Max Build More,Toys & Games,MAYBE,7.2,GBP29.99,GBP3.54,8.1%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0FT73SNK1,"TYCOLE Flowers Bouquet Building Set - Purple Roses Botanical Collection Building Blocks for Adult Women, Artificial Flowers Gothic Home Decor Christmas Birthday Gift for Adults Kids Girls 6-12",TYCOLE,Toys & Games,MAYBE,7.5,GBP25.99,GBP3.04,7.6%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0FK7HLT4C,"MAX Build More Premium Fuggler Collection 4 Pack by ZURU - Novelty Unboxing Toy & Building Brick Collectible Minis with up to 167 Pieces, Fun Designs to Build & Display, Ages 8+, Kids, Teens & Adults.",Max Build More,Toys & Games,MAYBE-ROI,6.9,GBP29.99,GBP3.54,8.1%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B09J17B7X7,"Friday Night Dinner 1454 Jim 24cm Talking Plush, Interactive Free Standing Soft Toy, Age 15 Years+ (Recommended due to Language Content)",Friday Night Dinner,Toys & Games,MAYBE,7.5,GBP23.98,GBP3.04,5.8%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B003KKH9OW,"Douglas 4009 Dogs Border Collie Plush Toy, 20 cm Long",Douglas,Toys & Games,MAYBE-ROI,6.8,GBP23.20,GBP2.94,5.6%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0G52DTC9W,"Dress To Impress — Bubblegum Gal Fashion Doll — Series 1 Wave 1, Pink",Dress To Impress,Toys & Games,MAYBE-ROI,6.8,GBP22.99,GBP2.94,5.4%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0DTRC2HT4,"A Gentle Rain – Calming Tile-Laying Puzzle Game – Mindful Solo, 2-Player, or Cooperative Play in 15 Minutes – Soft-Touch Tiles & Wooden Blossoms – Compact, Giftable, Family-Friendly Board Game",Incredible Dream,Toys & Games,MAYBE-ROI,6.8,GBP22.00,GBP3.00,3.9%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0D1GFRXWK,"Jelly Blox 2-in-1 Storage Kit - Includes 30 Blocks - Toddler & Preschool Building Blocks Kids Can Squeeze, Stretch, Squish - Safety Tested & Ouch-Free - Tactile, Sensory Play Toy for Ages 2 Plus",Jelly Blox,Toys & Games,MAYBE-ROI,6.8,GBP23.99,GBP3.49,2.9%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0788XV9JM,Peaceable Kingdom Monkey Around First Game for Toddlers Interactive Play with Parent Ages 2+,Peaceable Kingdom,Toys & Games,MAYBE,7.8,GBP21.88,GBP3.04,3.5%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0CJMKK3SX,My Little Pony: Tell Your Tale Rainbow Styles Izzy Moonbow Unicorn Toys,Hasbro,Toys & Games,MAYBE-ROI,6.6,GBP22.99,GBP3.26,3.2%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0BN6PZFG2,"​Thomas & Friends Toy Train Tracks Set, Connect & Build Bucket, 34-Piece Expansion Pack for Diecast & Motorized Trains, Kids Ages 3+ Years, HNP81",THOMAS & FRIENDS,Toys & Games,MAYBE,7.0,GBP22.98,GBP3.54,1.4%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B00J06GN5Q,"Peter Rabbit Jack in the Box, 14.5 x 14.5 x 15.5 centimeters, Blue",Rainbow Designs,Toys & Games,MAYBE-ROI,6.6,GBP22.49,GBP3.49,1.1%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0080EWI5S,Thomas & Friends Kids Ride On Toys for 1+ years Boys and Girls - Sit and Ride On Thomas the Tank Engine Toy with Steering Wheel - Easy Assembly Toddler Walker Toy - Outdoor and Indoor Push Along Car,THOMAS & FRIENDS,Toys & Games,MAYBE-ROI,6.6,GBP31.48,GBP5.10,1.5%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B07BVDHMFN,Living Nature German Shepherd Soft Toy | Fluffy Dog Animal | Soft Toy Gift for Kids | 21 cm,Keycraft,Toys & Games,MAYBE-ROI,6.6,GBP21.99,GBP3.48,0.5%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B000NKN71G,Animal Jack In a Box (Styles May Vary),Tobar,Toys & Games,MAYBE-ROI,6.6,GBP20.64,GBP3.48,-1.4%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B07691S7YL,"Power Play Pool Table Game, Portable Wooden Classic Games Table, Indoor Outdoor Game for Kids and Adults, Brown 20inch",Power Play,Toys & Games,MAYBE,7.2,GBP22.50,GBP4.80,-7.9%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
