ASIN,Title,Brand,Amazon URL,Category,Weight Flag,Current Price,Buy Box 90d Avg,Price Drop % 90d,BSR Current,BSR 90d Avg,BSR Drops 90d,Bought per Month,FBA Seller Count,FBA Seller 90d Avg,Amazon on Listing,Fulfilment Fee,Amazon Fees,Total Amazon Fees,Est Cost 65%,Est Profit,Est ROI %,Max Cost 20% ROI,Breakeven Price,Buy Box Amazon %,BB Seller,BB Is FBA,Star Rating,Review Count,Image Count,Has A+ Content,Bullet Count,Listing Quality,Brand 1P,Gated,SAS Flags,Pre-filter Flags,Data Source,EAN,UPC,GTIN,Demand Score,Stability Score,Competition Score,Margin Score,Composite Score,Cash Flow Score,Profit Score,Balanced Score,Opportunity Lane,Commercial Priority,Monthly Gross Profit,Price Compression,Lane Reason,Verdict,Verdict Reason,Brand Seller Match,Fortress Listing,Brand Type,A+ Content Present,Brand Store Present,Category Risk Level,IP Risk Score,IP Risk Band,IP Reason
B0FHQR4S6D,"Learning Resources Numberblocks Sing-Along Superhero Octoblock, Numbers for Toddlers, Preschool Maths Learning Toys, Stuffed Animal Plushies, Counting Blocks Stuffies, Kids Birthday Gifts Ages 3+",Learning Resources,https://www.amazon.co.uk/dp/B0FHQR4S6D,Toys & Games,,35.31,33.86,-4.0%,18391,17160,45,100,8,0,Y,2.98,6.20,9.18,22.95,3.18,13.9%,21.78,32.13,48%,Kiddimax - Free Next Day Delivery (90%) ,no,4.4,60,6,Y,5,STRONG,N,-,MAYBE-ROI,AMAZON CHECK,KEEPA,5055506414672,,,10,8,4,1,6.4,8.7,4.8,7.7,CASH FLOW,1,318.00,OK,CASH FLOW | GBP318.00/mo | 100/mo | GBP3.18 unit profit | stable | 8 sellers,MAYBE-ROI,CASH FLOW | 100/mo | GBP3.18 profit | GBP318.00 monthly gross | stable | 8 sellers,NO,NO,GENERIC,YES,UNLIKELY,HIGH,2,Low,A+ content | Category HIGH risk
B0CT3VZSCV,"My Salah Mat Islamic Toys for Kids - My Quran Pad Educational Kids Toy Teach Arabic Alphabet for Kids With Daily Words, Animals & More - Interactive Smart Way to Learn Arabic - Ramadan and Eid Gift",My Salah Mat,https://www.amazon.co.uk/dp/B0CT3VZSCV,Toys & Games,,35.99,39.13,8.0%,18112,32995,49,50,5,0,N,3.06,6.31,9.37,23.39,3.23,13.8%,22.19,32.76,0%,UK Sourcing (100%) / A2KE7LF5D0D7A8,yes,4.4,77,10,Y,5,STRONG,N,-,MAYBE-ROI,,KEEPA,0604565836823,604565836823,,10,10,6,1,7.4,9.3,5.1,8.1,CASH FLOW,1,316.50,OK,CASH FLOW | GBP316.50/mo | 98/mo | GBP3.23 unit profit | stable | 5 sellers,MAYBE,CASH FLOW | 98/mo | GBP3.23 profit | GBP316.50 monthly gross | stable | 5 sellers,NO,NO,GENERIC,YES,UNLIKELY,HIGH,2,Low,A+ content | Category HIGH risk
B0CTNVMZVF,"Learning Resources Design & Drill Robot Workshop, Ages 3+, Take Apart Robot Toy, Preschool STEM Building Kit, Develops Fine Motor Skills, Gifts For Kids",Educational Insights,https://www.amazon.co.uk/dp/B0CTNVMZVF,Toys & Games,,29.99,28.57,-5.0%,26094,22040,75,50,8,0,Y,3.05,5.38,8.43,19.49,2.06,10.6%,17.96,27.93,49%,VOYTO UK (95%) / APVB5IVDJXT38,no,4.8,424,8,Y,5,STRONG,N,-,MAYBE-ROI,AMAZON CHECK,KEEPA,0086002041777,086002041777,00086002041777,9,8,4,0,5.9,8.7,4.1,7.2,CASH FLOW,1,309.00,OK,CASH FLOW | GBP309.00/mo | 150/mo | GBP2.06 unit profit | stable | 8 sellers,MAYBE-ROI,CASH FLOW | 150/mo | GBP2.06 profit | GBP309.00 monthly gross | stable | 8 sellers,NO,NO,GENERIC,YES,UNLIKELY,HIGH,2,Low,A+ content | Category HIGH risk
B00AQURFUW,"Learning Resources All About Me 2-in-1 Mirrors, Ages 18+ Months, Toddler Mirror Toy, Builds Self-Awareness & Emotional Skills",Learning Resources,https://www.amazon.co.uk/dp/B00AQURFUW,Toys & Games,,30.96,30.80,-1.0%,17798,20649,67,100,10,0,Y,3.04,5.53,8.57,20.12,2.27,11.3%,18.66,28.69,24%,Amazon,yes,4.4,701,7,Y,5,STRONG,N,-,MAYBE-ROI,AMAZON CHECK,KEEPA,0765023033717,765023033717,00765023033717,10,8,0,0,5.4,8.3,3.9,7.1,CASH FLOW,1,304.20,OK,CASH FLOW | GBP304.20/mo | 134/mo | GBP2.27 unit profit | stable | 10 sellers,MAYBE-ROI,CASH FLOW | 134/mo | GBP2.27 profit | GBP304.20 monthly gross | stable | 10 sellers,NO,NO,ESTABLISHED,YES,UNLIKELY,HIGH,3,Low,Established brand | A+ content | Category HIGH risk
B01BM615O0,"Spirograph Deluxe Set | Create Amazing Endless Designs | Including The Iconic Precision Parts, Pens & Spiro-Putty | Features Durable Storage Case | Creative Arts & Crafts Activity | For Ages 8+",Spirograph,https://www.amazon.co.uk/dp/B01BM615O0,Toys & Games,,26.99,31.47,14.0%,30983,22543,89,50,4,0,Y,3.06,4.92,7.98,17.54,1.47,8.4%,15.85,25.52,39%,BeadBlaze (99%) / A24MJCHPLE8DZP,yes,4.7,2503,4,Y,5,AVERAGE,N,-,MAYBE-ROI,AMAZON CHECK,KEEPA,"0819441010017, 8056379995159",819441010017,08056379995159,9,10,6,0,6.9,8.6,2.6,6.6,CASH FLOW,1,261.70,SQUEEZED,CASH FLOW | GBP261.70/mo | 178/mo | GBP1.47 unit profit | SQUEEZED | 4 sellers,MAYBE-ROI,CASH FLOW | 178/mo | GBP1.47 profit | GBP261.70 monthly gross | SQUEEZED | 4 sellers,NO,NO,ESTABLISHED,YES,UNLIKELY,HIGH,3,Low,Established brand | A+ content | Category HIGH risk
B01CNYY3WQ,"GIOTTO Turbo Maxi Super Washable Felt Tip Fibre Pens, Large Tip Nib 5mm, Schoolpack, 108 x Assorted Colours, For Children, Parties and Schools",GIOTTO,https://www.amazon.co.uk/dp/B01CNYY3WQ,Toys & Games,,35.48,35.66,1.0%,38853,31452,42,50,2,0,Y,3.48,6.22,9.70,23.06,2.72,11.8%,21.48,32.76,98%,Amazon,yes,4.7,638,3,Y,5,AVERAGE,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK; LOW SELLER CHECK,KEEPA,"8000825005855, 8000825009310",,"08000825005855, 08000825009310",9,10,6,0,6.9,8,3.9,6.3,CASH FLOW,1,228.50,OK,CASH FLOW | GBP228.50/mo | 84/mo | GBP2.72 unit profit | stable | 2 sellers,MAYBE-ROI,CASH FLOW | 84/mo | GBP2.72 profit | GBP228.50 monthly gross | stable | 2 sellers,NO,NO,ESTABLISHED,YES,UNLIKELY,HIGH,3,Low,Established brand | A+ content | Category HIGH risk
B0G533WL97,Gibsons Beside the Seaside 4 x 500 Piece Jigsaw Puzzle Set for Adults – Four Charming Summer Seaside Scenes by Trevor Mitchell – Family Beach Holiday Theme – Premium Multi‑Box Puzzle Collection,Gibsons,https://www.amazon.co.uk/dp/B0G533WL97,Toys & Games,,26.45,26.54,0.0%,15931,23207,62,50,3,0,N,0.00,4.84,4.84,17.19,4.42,25.7%,18.01,22.03,0%,GIBSONS GAMES (97%) / A2QXKEOD5X5N8Z,no,4.1,7,9,Y,5,STRONG,Y,-,,,KEEPA,5012269050714,,,10,10,5,5,8,8.1,7,7.3,BALANCED,2,548.10,OK,BALANCED | GBP548.10/mo | 124/mo | GBP4.42 unit profit | stable | 3 sellers,MAYBE,BALANCED | 124/mo | GBP4.42 profit | GBP548.10 monthly gross | stable | 3 sellers,YES,NO,GENERIC,YES,LIKELY,HIGH,6,Medium,Brand=Seller match (YES) | A+ content | Likely brand store | Category HIGH risk
B01B14XK00,"Learning Resources Code & Go Robot Mouse, Ages 4+, Screen-Free Coding Toy, STEM Learning for Kids, Includes 30 Coding Cards, Gifts For Kids",Learning Resources,https://www.amazon.co.uk/dp/B01B14XK00,Toys & Games,,33.95,33.62,-1.0%,16654,17104,58,50,7,0,Y,3.00,5.99,8.99,22.07,2.90,13.1%,20.80,31.05,97%,Amazon,yes,4.5,1665,8,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK,KEEPA,0765023028416,765023028416,00765023028416,10,8,1,0,5.6,7.2,3.4,5.9,CASH FLOW,2,336.40,OK,CASH FLOW | GBP336.40/mo | 116/mo | GBP2.90 unit profit | stable | 7 sellers,MAYBE-ROI,CASH FLOW | 116/mo | GBP2.90 profit | GBP336.40 monthly gross | stable | 7 sellers,NO,NO,ESTABLISHED,YES,UNLIKELY,HIGH,3,Low,Established brand | A+ content | Category HIGH risk
B00KH52EKC,"Learning Resources Bulk Play Money Pack, Play Money for Kids, Plastic UK Coins Set, Ages 3 +",Learning Resources,https://www.amazon.co.uk/dp/B00KH52EKC,Toys & Games,,37.68,36.82,-2.0%,54731,38470,43,50,4,0,Y,3.04,6.57,9.61,24.49,3.58,14.6%,23.40,34.10,74%,Amazon,yes,4.4,52,6,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK,KEEPA,0765023518009,765023518009,00765023518009,6,8,3,1,5,7.4,4.2,6.5,CASH FLOW,2,307.90,OK,CASH FLOW | GBP307.90/mo | 86/mo | GBP3.58 unit profit | stable | 4 sellers,MAYBE-ROI,CASH FLOW | 86/mo | GBP3.58 profit | GBP307.90 monthly gross | stable | 4 sellers,NO,NO,GENERIC,YES,UNLIKELY,HIGH,2,Low,A+ content | Category HIGH risk
B0D7J67MGG,The Peckish Pirates • 1000-Piece Jigsaw Puzzle from The Magic Puzzle Company • Series Four,Magic Puzzle Company,https://www.amazon.co.uk/dp/B0D7J67MGG,Toys & Games,,33.97,31.93,-6.0%,26658,28734,43,50,2,0,Y,3.26,6.00,9.26,22.08,2.63,11.9%,20.59,31.34,100%,Amazon,yes,4.8,538,5,N,4,AVERAGE,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK; LOW SELLER CHECK,KEEPA,0850016196279,850016196279,,10,6,6,0,6,7.4,3.5,5.9,CASH FLOW,2,226.20,OK,CASH FLOW | GBP226.20/mo | 86/mo | GBP2.63 unit profit | stable | 2 sellers,MAYBE-ROI,CASH FLOW | 86/mo | GBP2.63 profit | GBP226.20 monthly gross | stable | 2 sellers,NO,NO,ESTABLISHED,NO,UNLIKELY,HIGH,2,Low,Established brand | Category HIGH risk
B07D4RN9NH,AODE forCrayola 50ct Twistables Colored Pencils,CRAYOLA,https://www.amazon.co.uk/dp/B07D4RN9NH,Toys & Games,,24.30,25.15,3.0%,50109,42200,51,50,6,0,N,2.16,4.51,6.67,15.80,1.84,11.6%,14.70,22.46,0%,NEO-ONE KENT LTD (100%) / A2UIB8UTEDUKTP,yes,4.7,28049,7,N,4,AVERAGE,N,-,MAYBE-ROI,,KEEPA,0071662074067,071662074067,00071662074067,7,10,4,0,5.9,9.1,3.9,7.3,CASH FLOW,2,187.70,OK,CASH FLOW | GBP187.70/mo | 102/mo | GBP1.84 unit profit | stable | 6 sellers,MAYBE-ROI,CASH FLOW | 102/mo | GBP1.84 profit | GBP187.70 monthly gross | stable | 6 sellers,NO,NO,ESTABLISHED,NO,UNLIKELY,HIGH,2,Low,Established brand | Category HIGH risk
