ASIN,Product Name,Brand,Category,Verdict,Composite Score,Current Price,FBA Fee,Est ROI %,Existing Account Found,Existing Account Name,Trade Price Found,Trade Price,Real ROI %,ROI Change,Route Code,Supplier Name,Supplier Website,Supplier Contact,MOQ,Notes,Outreach Email File
B0D7J67MGG,The Peckish Pirates • 1000-Piece Jigsaw Puzzle from The Magic Puzzle Company • Series Four,Magic Puzzle Company,Toys & Games,MAYBE-ROI,6.0,GBP33.97,GBP3.26,11.9%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B07D4RN9NH,AODE forCrayola 50ct Twistables Colored Pencils,CRAYOLA,Toys & Games,MAYBE-ROI,5.9,GBP24.30,GBP2.16,11.6%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0BXB6Z94M,"Learning Resources Hot Dots Numberblocks 1–10 Activity Book & Interactive Pen, Ages 4+, Numberblocks Gifts, 75+ Maths Activities, Gifts For Kids",Educational Insights,Toys & Games,MAYBE-ROI,6.0,GBP26.97,GBP2.94,9.0%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0FD49LNLY,"Clementoni Smart-Tech Greenhouse – Interactive STEM Plant Science Kit with Sensors, LCD Screen and Growth Modes for Kids 8+",Clementoni,Toys & Games,MAYBE-ROI,5.6,GBP29.95,GBP3.93,6.1%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0F3P8RQVQ,"Learning Resources Numberblocks Wooden Building Blocks Activity Set, Wood Stacking Toy, Colour Sorting Counting Cubes, Preschool Maths Toys, Toddler Learning Activities, Kids Birthday Gift, Ages 3+",Learning Resources,Toys & Games,MAYBE-ROI,5.9,GBP24.20,GBP3.04,6.0%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B00G5L61JM,Arsenal Emirates Stadium 3D Puzzle,Megableu,Toys & Games,MAYBE-ROI,6.0,GBP23.43,GBP2.94,5.9%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B00ZA11U7G,IDEAL | Tipping Point game: with electronic Tipping Point Machine and all new questions | Family TV Show Board Game | For 3+ Players or teams | Ages 10+,Ideal,Toys & Games,MAYBE-ROI,6.6,GBP22.69,GBP3.05,4.3%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B07T38R3N8,Ravensburger Happy Days Collection No.1 Look North 4x 500 Piece Jigsaw Puzzle for Adults and Kids Age 10 Years Up,Ravensburger,Toys & Games,MAYBE-ROI,6.2,GBP27.89,GBP3.26,8.0%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0F3PBJZQG,"Learning Resources Numberblock Ten Playful Pal Plush, Numbers for Toddlers, Preschool Maths Learning Toys, Stuffed Animal Plushies, Counting Blocks Stuffies, Kids Birthday Gifts, Ages 18 months+",Learning Resources,Toys & Games,MAYBE-ROI,6.0,GBP29.94,GBP3.49,8.3%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B075CVZ4KY,"BAD PEOPLE Party Game + After Dark Expansion Set - Hilarious Adult Card Game for White Elephant Parties, Stocking Stuffers and Board Games Night with Friends",BAD PEOPLE,Toys & Games,MAYBE,7.0,GBP24.99,GBP3.04,6.8%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B01N9JXHCV,Ravensburger World Globe on a V-Stand 3D Jigsaw Puzzle for Adults and Kids Age 10 Years Up - 550 Pieces - No Glue Required,Ravensburger,Toys & Games,MAYBE-ROI,5.4,GBP24.89,GBP3.26,5.3%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B00HT5HBMO,"Learning Resources Recordable Answer Buzzers – Set of 4, Ages 3+, Game Show Buzzers, Recordable Buttons, Personalised Sound Toy, Family Game Night",Learning Resources,Toys & Games,MAYBE-ROI,5.4,GBP26.43,GBP2.94,8.6%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0DTB2N2D9,"Crayola Marker Airbrush Spray Art Kit, Battery-Powered Sprayer with 8 Washable Markers & 5 Stencils, DIY Craft Set for Kids, Gift for Boys & Girls, Ages 6+",CRAYOLA,Toys & Games,MAYBE-ROI,6.8,GBP25.87,GBP3.26,6.2%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B00ISQKHTM,"4M Crystal Growing Experimental Kit | A Science and Chemistry Kit for Kids Ages 14+ | Grow your own Crystals, Large",4M,Toys & Games,MAYBE-ROI,6.7,GBP23.99,GBP3.04,5.8%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
