ASIN,Product Name,Brand,Amazon URL,Category,Weight Flag,Verdict,Verdict Reason,Opportunity Lane,Commercial Priority,Lane Reason,Composite Score,Demand Score,Stability Score,Competition Score,Margin Score,Cash Flow Score,Profit Score,Balanced Score,Monthly Gross Profit,Price Compression,Listing Quality,Current Price,Buy Box 90d Avg,Price Stability,Fulfilment Fee,Amazon Fees,Total Amazon Fees,Est Cost 65%,Est Profit,Est ROI %,Max Cost 20% ROI,Breakeven Price,BSR Current,BSR Drops 90d,Bought per Month,Star Rating,Review Count,Brand 1P,FBA Seller Count,Amazon on Listing,Amazon Buy Box Share,Private Label Risk,Brand Seller Match,Fortress Listing,Brand Type,A+ Content Present,Brand Store Present,Category Risk Level,IP Risk Score,IP Risk Band,IP Reason,Gated,SAS Flags,Route Code,Supplier Name,Supplier Website,Supplier Contact,MOQ,Trade Price Found,Trade Price,Real ROI %,Supplier Notes,Outreach Email File,EAN,UPC,GTIN
B0CT3VZSCV,"My Salah Mat Islamic Toys for Kids - My Quran Pad Educational Kids Toy Teach Arabic Alphabet for Kids With Daily Words, Animals & More - Interactive Smart Way to Learn Arabic - Ramadan and Eid Gift",My Salah Mat,https://www.amazon.co.uk/dp/B0CT3VZSCV,Toys & Games,,MAYBE,CASH FLOW | 98/mo | GBP3.23 profit | GBP316.50 monthly gross | stable | 5 sellers,CASH FLOW,1,CASH FLOW | GBP316.50/mo | 98/mo | GBP3.23 unit profit | stable | 5 sellers,7.4,10,10,6,1,9.3,5.1,8.1,GBP317,OK,STRONG,GBP35.99,GBP39.13,SLIGHT DIP (8%),GBP3.06,GBP6.31,GBP9.37,GBP23.39,GBP3.23,13.8%,GBP22.19,GBP32.76,18112,49,50,4.4,77,N,5,N,0%,-,NO,NO,GENERIC,YES,UNLIKELY,HIGH,2,Low,A+ content | Category HIGH risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,0604565836823,604565836823,
B0CTNVMZVF,"Learning Resources Design & Drill Robot Workshop, Ages 3+, Take Apart Robot Toy, Preschool STEM Building Kit, Develops Fine Motor Skills, Gifts For Kids",Educational Insights,https://www.amazon.co.uk/dp/B0CTNVMZVF,Toys & Games,,MAYBE-ROI,CASH FLOW | 150/mo | GBP2.06 profit | GBP309.00 monthly gross | stable | 8 sellers,CASH FLOW,1,CASH FLOW | GBP309.00/mo | 150/mo | GBP2.06 unit profit | stable | 8 sellers,5.9,9,8,4,0,8.7,4.1,7.2,GBP309,OK,STRONG,GBP29.99,GBP28.57,RISING (5%),GBP3.05,GBP5.38,GBP8.43,GBP19.49,GBP2.06,10.6%,GBP17.96,GBP27.93,26094,75,50,4.8,424,N,8,Y,49%,-,NO,NO,GENERIC,YES,UNLIKELY,HIGH,2,Low,A+ content | Category HIGH risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,0086002041777,086002041777,00086002041777
B00AQURFUW,"Learning Resources All About Me 2-in-1 Mirrors, Ages 18+ Months, Toddler Mirror Toy, Builds Self-Awareness & Emotional Skills",Learning Resources,https://www.amazon.co.uk/dp/B00AQURFUW,Toys & Games,,MAYBE-ROI,CASH FLOW | 134/mo | GBP2.27 profit | GBP304.20 monthly gross | stable | 10 sellers,CASH FLOW,1,CASH FLOW | GBP304.20/mo | 134/mo | GBP2.27 unit profit | stable | 10 sellers,5.4,10,8,0,0,8.3,3.9,7.1,GBP304,OK,STRONG,GBP30.96,GBP30.80,STABLE,GBP3.04,GBP5.53,GBP8.57,GBP20.12,GBP2.27,11.3%,GBP18.66,GBP28.69,17798,67,100,4.4,701,N,10,Y,24%,-,NO,NO,ESTABLISHED,YES,UNLIKELY,HIGH,3,Low,Established brand | A+ content | Category HIGH risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,0765023033717,765023033717,00765023033717
B01BM615O0,"Spirograph Deluxe Set | Create Amazing Endless Designs | Including The Iconic Precision Parts, Pens & Spiro-Putty | Features Durable Storage Case | Creative Arts & Crafts Activity | For Ages 8+",Spirograph,https://www.amazon.co.uk/dp/B01BM615O0,Toys & Games,,MAYBE-ROI,CASH FLOW | 178/mo | GBP1.47 profit | GBP261.70 monthly gross | SQUEEZED | 4 sellers,CASH FLOW,1,CASH FLOW | GBP261.70/mo | 178/mo | GBP1.47 unit profit | SQUEEZED | 4 sellers,6.9,9,10,6,0,8.6,2.6,6.6,GBP262,SQUEEZED,AVERAGE,GBP26.99,GBP31.47,DROPPING (14%),GBP3.06,GBP4.92,GBP7.98,GBP17.54,GBP1.47,8.4%,GBP15.85,GBP25.52,30983,89,50,4.7,2503,N,4,Y,39%,-,NO,NO,ESTABLISHED,YES,UNLIKELY,HIGH,3,Low,Established brand | A+ content | Category HIGH risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,"0819441010017, 8056379995159",819441010017,08056379995159
B01CNYY3WQ,"GIOTTO Turbo Maxi Super Washable Felt Tip Fibre Pens, Large Tip Nib 5mm, Schoolpack, 108 x Assorted Colours, For Children, Parties and Schools",GIOTTO,https://www.amazon.co.uk/dp/B01CNYY3WQ,Toys & Games,,MAYBE-ROI,CASH FLOW | 84/mo | GBP2.72 profit | GBP228.50 monthly gross | stable | 2 sellers,CASH FLOW,1,CASH FLOW | GBP228.50/mo | 84/mo | GBP2.72 unit profit | stable | 2 sellers,6.9,9,10,6,0,8,3.9,6.3,GBP229,OK,AVERAGE,GBP35.48,GBP35.66,STABLE,GBP3.48,GBP6.22,GBP9.70,GBP23.06,GBP2.72,11.8%,GBP21.48,GBP32.76,38853,42,50,4.7,638,N,2,Y,98%,Unlikely,NO,NO,ESTABLISHED,YES,UNLIKELY,HIGH,3,Low,Established brand | A+ content | Category HIGH risk,-,MAYBE-ROI; AMAZON DOMINANT,UNCLEAR,,,,,N,,,No supplier accounts configured,,"8000825005855, 8000825009310",,"08000825005855, 08000825009310"
B01B14XK00,"Learning Resources Code & Go Robot Mouse, Ages 4+, Screen-Free Coding Toy, STEM Learning for Kids, Includes 30 Coding Cards, Gifts For Kids",Learning Resources,https://www.amazon.co.uk/dp/B01B14XK00,Toys & Games,,MAYBE-ROI,CASH FLOW | 116/mo | GBP2.90 profit | GBP336.40 monthly gross | stable | 7 sellers,CASH FLOW,2,CASH FLOW | GBP336.40/mo | 116/mo | GBP2.90 unit profit | stable | 7 sellers,5.6,10,8,1,0,7.2,3.4,5.9,GBP336,OK,STRONG,GBP33.95,GBP33.62,STABLE,GBP3.00,GBP5.99,GBP8.99,GBP22.07,GBP2.90,13.1%,GBP20.80,GBP31.05,16654,58,50,4.5,1665,N,7,Y,97%,-,NO,NO,ESTABLISHED,YES,UNLIKELY,HIGH,3,Low,Established brand | A+ content | Category HIGH risk,-,MAYBE-ROI; AMAZON DOMINANT,UNCLEAR,,,,,N,,,No supplier accounts configured,,0765023028416,765023028416,00765023028416
B00KH52EKC,"Learning Resources Bulk Play Money Pack, Play Money for Kids, Plastic UK Coins Set, Ages 3 +",Learning Resources,https://www.amazon.co.uk/dp/B00KH52EKC,Toys & Games,,MAYBE-ROI,CASH FLOW | 86/mo | GBP3.58 profit | GBP307.90 monthly gross | stable | 4 sellers,CASH FLOW,2,CASH FLOW | GBP307.90/mo | 86/mo | GBP3.58 unit profit | stable | 4 sellers,5.0,6,8,3,1,7.4,4.2,6.5,GBP308,OK,STRONG,GBP37.68,GBP36.82,STABLE,GBP3.04,GBP6.57,GBP9.61,GBP24.49,GBP3.58,14.6%,GBP23.40,GBP34.10,54731,43,50,4.4,52,N,4,Y,74%,-,NO,NO,GENERIC,YES,UNLIKELY,HIGH,2,Low,A+ content | Category HIGH risk,-,MAYBE-ROI; AMAZON DOMINANT,UNCLEAR,,,,,N,,,No supplier accounts configured,,0765023518009,765023518009,00765023518009
B0D7J67MGG,The Peckish Pirates • 1000-Piece Jigsaw Puzzle from The Magic Puzzle Company • Series Four,Magic Puzzle Company,https://www.amazon.co.uk/dp/B0D7J67MGG,Toys & Games,,MAYBE-ROI,CASH FLOW | 86/mo | GBP2.63 profit | GBP226.20 monthly gross | stable | 2 sellers,CASH FLOW,2,CASH FLOW | GBP226.20/mo | 86/mo | GBP2.63 unit profit | stable | 2 sellers,6.0,10,6,6,0,7.4,3.5,5.9,GBP226,OK,AVERAGE,GBP33.97,GBP31.93,RISING (6%),GBP3.26,GBP6.00,GBP9.26,GBP22.08,GBP2.63,11.9%,GBP20.59,GBP31.34,26658,43,50,4.8,538,N,2,Y,100%,Unlikely,NO,NO,ESTABLISHED,NO,UNLIKELY,HIGH,2,Low,Established brand | Category HIGH risk,-,MAYBE-ROI; AMAZON DOMINANT,UNCLEAR,,,,,N,,,No supplier accounts configured,,0850016196279,850016196279,
B07D4RN9NH,AODE forCrayola 50ct Twistables Colored Pencils,CRAYOLA,https://www.amazon.co.uk/dp/B07D4RN9NH,Toys & Games,,MAYBE-ROI,CASH FLOW | 102/mo | GBP1.84 profit | GBP187.70 monthly gross | stable | 6 sellers,CASH FLOW,2,CASH FLOW | GBP187.70/mo | 102/mo | GBP1.84 unit profit | stable | 6 sellers,5.9,7,10,4,0,9.1,3.9,7.3,GBP188,OK,AVERAGE,GBP24.30,GBP25.15,SLIGHT DIP (3%),GBP2.16,GBP4.51,GBP6.67,GBP15.80,GBP1.84,11.6%,GBP14.70,GBP22.46,50109,51,50,4.7,28049,N,6,N,0%,-,NO,NO,ESTABLISHED,NO,UNLIKELY,HIGH,2,Low,Established brand | Category HIGH risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,0071662074067,071662074067,00071662074067
B0BXB6Z94M,"Learning Resources Hot Dots Numberblocks 1–10 Activity Book & Interactive Pen, Ages 4+, Numberblocks Gifts, 75+ Maths Activities, Gifts For Kids",Educational Insights,https://www.amazon.co.uk/dp/B0BXB6Z94M,Toys & Games,,MAYBE-ROI,CASH FLOW | 118/mo | GBP1.58 profit | GBP186.40 monthly gross | stable | 13 sellers,CASH FLOW,2,CASH FLOW | GBP186.40/mo | 118/mo | GBP1.58 unit profit | stable | 13 sellers,6.0,10,10,0,0,7.9,2.6,6.1,GBP186,OK,STRONG,GBP26.97,GBP28.06,SLIGHT DIP (4%),GBP2.94,GBP4.92,GBP7.86,GBP17.53,GBP1.58,9.0%,GBP15.93,GBP25.39,25964,59,50,4.4,626,N,13,Y,58%,-,NO,NO,ESTABLISHED,YES,UNLIKELY,HIGH,3,Low,Established brand | A+ content | Category HIGH risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,0086002025500,086002025500,00086002025500
