supplier,supplier_sku,ean,product_name,match_type,supplier_price_basis,case_qty,unit_cost_ex_vat,unit_cost_inc_vat,case_cost_ex_vat,case_cost_inc_vat,decision,decision_reason,risk_flags
Shure Cosmetics,SCS22137,6246277255420,Aco Perfumes Awal Perfumed Deodorant - 200ml (5420) -D/35,UNIT,UNIT,1,1.95,2.34,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS61093,6291106068849,Aco Perfumes Ballerina Perfumed Deodorant - 200ml (8849),UNIT,UNIT,1,1.95,2.34,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS18133,6291107453217,Aco Perfumes Black Diamond Perfumed Deodorant - 200ml (3217) - D/33,UNIT,UNIT,1,1.95,2.34,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS21857,6291106068801,Aco Perfumes Blue Oros Perfumed Deodorant - 200ml (8801) D/41,UNIT,UNIT,1,1.95,2.34,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS23700,6246871255253,Aco Perfumes Guilty Guilt Perfumed Deodorant - 200ml (5253) D/27,UNIT,UNIT,1,1.95,2.34,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS21841,6246871255246,Aco Perfumes J'apador Perfumed Deodorant - 200ml (5246) D/28,UNIT,UNIT,1,1.95,2.34,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS18760,6291107453248,~ Aco Perfumes Opulent Gold Perfumed Deodorant - 200ml (3248) D/42,UNIT,UNIT,1,1.95,2.34,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS61092,6291106068795,Aco Perfumes Saviour Perfumed Deodorant - 200ml (8795),UNIT,UNIT,1,1.95,2.34,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS21835,6246871255284,Aco Perfumes Victory Glowing Crystal Perfumed Deodorant - 200ml (5284) D/32,UNIT,UNIT,1,1.95,2.34,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS20826,6291100179466,Active Man (Mens 100ml EDP) Chris Adams (9466)  SA/17,UNIT,UNIT,1,4.75,5.7,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS39478,,Active Woman Pour Femme (Ladies 80ml EDP) Chris Adams (Platinum Collection) (0098),UNIT,UNIT,1,4.75,5.7,,,REJECT,Invalid or missing EAN,
Shure Cosmetics,SCS23777,3616305256829,Adidas Ice Dive 2pcs Gift Set (6829),UNIT,UNIT,1,4.95,5.94,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS23775,3616305256706,Adidas Ice Dive 3pcs Gift Set (6706),UNIT,UNIT,1,6.25,7.5,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS61920,,Adidas Ice Dive Cool & Aquatic 48H Enduring Fragrance Deo Body Spray - 150ml (6pcs) (3145) (£1.99/each),UNIT,UNIT,1,11.95,14.339999999999998,,,REJECT,Invalid or missing EAN,
Shure Cosmetics,SCS61871,3616307080682,Adidas Vibes Chill Zone Serene Lavender & Cozy Vanilla Hair & Body Mist - 150ml (0682),UNIT,UNIT,1,1.95,2.34,,,REJECT,No Amazon match found,
