ASIN,Locale,Image,Title,Bought in past month,Buy Box: Current,Amazon: Current,Buy Box: 90 days avg.,Buy Box: 90 days drop %,New Offer Count: Current,Sales Rank: 90 days avg.,Sales Rank: 90 days drop %,Sales Rank: Drops last 90 days,Sales Rank: Reference,Sales Rank: Display Group,Sales Rank: Subcategory Sales Ranks,Sales Rank: Current,90 days change % monthly sold,Return Rate,Reviews: Rating,Reviews: Rating Count,Reviews: Rating Count - 90 days drop %,Reviews: Review Count - Format Specific,Last Price Change,Buy Box: Stock,Buy Box: 90 days OOS,Buy Box: Buy Box Seller,Buy Box: Shipping Country,Buy Box: Strikethrough Price,Buy Box: % Amazon 90 days,Buy Box: % Top Seller 90 days,Buy Box: Winner Count 90 days,Buy Box: Standard Deviation 90 days,Buy Box: Flipability 90 days,Buy Box: Is FBA,Buy Box: Unqualified,Buy Box: Prime Eligible,Buy Box: Subscribe & Save,Amazon: 90 days avg.,Amazon: 90 days drop %,Amazon: Stock,Amazon: 90 days OOS,New: Current,New: 90 days avg.,New: 90 days drop %,New: 90 days OOS,"New, 3rd Party FBA: Current","New, 3rd Party FBA: 90 days avg.","New, 3rd Party FBA: 90 days drop %","New, 3rd Party FBA: Stock",FBA Pick&Pack Fee,Referral Fee %,Referral Fee based on current Buy Box price,"New, 3rd Party FBM: Current","New, 3rd Party FBM: 90 days avg.","New, 3rd Party FBM: 90 days drop %","New, 3rd Party FBM: Stock","New, Prime exclusive: Current","New, Prime exclusive: 90 days avg.","New, Prime exclusive: 90 days drop %",Lightning Deals: Current,Buy Box Used: Current,Buy Box Used: 90 days avg.,Buy Box Used: 90 days drop %,Buy Box Used: Buy Box Used Seller,Buy Box Used: Is FBA,Buy Box Used: Condition,Used: Current,Used: 90 days avg.,Used: 90 days drop %,Used: 90 days OOS,"Used, like new: Current","Used, like new: 90 days avg.","Used, like new: 90 days drop %","Used, very good: Current","Used, very good: 90 days avg.","Used, very good: 90 days drop %","Used, good: Current","Used, good: 90 days avg.","Used, good: 90 days drop %","Used, acceptable: Current","Used, acceptable: 90 days avg.","Used, acceptable: 90 days drop %",Warehouse Deals: Current,Warehouse Deals: 90 days avg.,Warehouse Deals: 90 days drop %,List Price: Current,List Price: 90 days avg.,List Price: 90 days drop %,eBay New: Current,eBay New: 90 days avg.,eBay New: 90 days drop %,eBay Used: Current,eBay Used: 90 days avg.,eBay Used: 90 days drop %,Total Offer Count,New Offer Count: 90 days avg.,Used Offer Count: Current,Used Offer Count: 90 days avg.,Tracking since,Listed since,URL: URL slug,Categories: Root,Categories: Sub,Categories: Tree,Website Display Group: Name,Product Codes: UPC,Product Codes: EAN,Product Codes: GTIN,Product Codes: PartNumber,Parent ASIN,Freq. Bought Together,Type,Manufacturer,Brand,Brand Store Name,Brand Store URL Name,Model,Variation Attributes,Color,Size,Unit Details: Unit Value,Unit Details: Unit Type,Scent,Item Form,Pattern,Style,Material,Item Type,Target Audience,Recommended Uses,Specific Uses,Product Benefit,Edition,Format,Author,Contributors,Binding,Number of Items,Number of Pages,Publication Date,Release Date,Languages,Videos: Video Count,Videos: Has Main Video,Videos: Main Videos,Videos: Additional Videos,A+ Content: Has A+ Content,Package: Dimension (cm³),Package: Weight (g),Package: Quantity,Item: Dimension (cm³),Item: Weight (g),Included Components,Ingredients,Active Ingredients,Special Ingredients,Safety Warning,Batteries Required,Batteries Included,Hazardous Materials,Is HazMat,Is heat sensitive,Adult Product,Is Merch on Demand,Trade-In Eligible,Deals: Deal Type,Deals: Badge,One Time Coupon: Absolute,One Time Coupon: Percentage,One Time Coupon: Subscribe & Save %,Business Discount: Percentage,Pre-filter Flags
B003QXN3A2,co.uk,https://m.media-amazon.com/images/I/71H+bDcX8AL.jpg;https://m.media-amazon.com/images/I/511LQ0kVa0L.jpg;https://m.media-amazon.com/images/I/51G3mS6y0eL.jpg;https://m.media-amazon.com/images/I/A1LSkUaWoJL.jpg;https://m.media-amazon.com/images/I/81CUyodT2cL.jpg;https://m.media-amazon.com/images/I/61jJjzjrWPL.jpg;https://m.media-amazon.com/images/I/91NzhPhIryL.jpg;https://m.media-amazon.com/images/I/81zkTZDDcAL.jpg;https://m.media-amazon.com/images/I/71WyZtrRCjL.jpg;https://m.media-amazon.com/images/I/51ZWiIFAUtL.jpg;https://m.media-amazon.com/images/I/41-BbnQ0y2L.jpg;https://m.media-amazon.com/images/I/518N75XuQ9L.jpg;https://m.media-amazon.com/images/I/41Zgh8-fs3L.jpg;https://m.media-amazon.com/images/I/419kJqLf93L.jpg;https://m.media-amazon.com/images/I/51mZfD9GAYL.jpg,GOURMET Perle Ocean Delicacies in Gravy Wet Cat Food 12x85g (Pack of 4),300,20.00,20.00,22.28,10 %,18,12,17 %,34,Pet Supplies,pet_products_display_on_website,# 3 | Top 0.12% | Cat Food Pouches,10,15 %,,4.6,426,97 %,221,2026/03/19 21:12,4,11 %,Amazon,,23.00,60 %,60 %,13,1.09,46,yes,no,yes,yes,22.50,11 %,4,14 %,20.00,22.57,11 %,0 %,20.00,22.36,11 %,7,4.45,15 %,3.00,24.54,23.41,-5 %,149,,,,,,,,,no,,,,,100 %,,,,,,,,,,,,,,,,28.88,28.88,0 %,,,,,,,18,17,,,2011/03/24,2010/06/11,Gourmet-Perle-Ocean-Delicacies-Gravy,Pet Supplies,"Pouches, Arborist Merchandising Root, Purina Store, Customers’ Most Loved: Pets, Save 20% on Pet Supplies with Promo Code: PETSSAVE20",Pet Supplies › Cats › Food › Wet › Pouches,Pet Products,,7613032723705,07613032723705,12114310,B0FKMDPZXM,,PET_FOOD,Nestle Purina,Gourmet,Gourmet,Gourmet,12114310,FlavorName: Ocean Delicacies; Size: 85 g (Pack of 48);,,85 g (Pack of 48),4080,gram,,Gravy,,Gourmet Perle,,,,"Appetite stimulation, Skin and Coat Health, Weight Management, Digestive Health",Skin and Coat Health,"Provides daily natural, high-quality taste experience",,,,,Target,48,,,,,1,yes,"[{""creator"":""Creator: Main"",""image"":""https://m.media-amazon.com/images/I/61IPdnCNoPL.jpg"",""url"":""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/09edf3d9-b648-46cd-946b-419d38c37c1c/default.jobtemplate.hls.m3u8""}]",,yes,9187,4550,1,,4080,,"Composition: Meat and animal derivatives, Vegetable protein extracts, Molluscs and crustaceans (shrimps 4%), Fish and fish derivatives (salmon 4%), minerals, Various sugars. Composition: Meat and animal derivatives, Vegetable protein extracts, Molluscs and crustaceans (shrimps 4%), Fish and fish derivatives (tuna 4%), minerals, Various sugars. Composition: Meat and animal derivatives, Vegetable protein extracts, Fish and fish derivatives (ocean fish 4%, tuna 4%), minerals, Various sugars. Composition: Meat and animal derivatives, Vegetable protein extracts, Molluscs and crustaceans (shrimps 4%), Fish and fish derivatives (plaice 4%), minerals, Various sugars.",,Fish,,no,no,,no,no,no,no,no,,,-,,20 %,,AMAZON CHECK
B00P14XLFQ,co.uk,https://m.media-amazon.com/images/I/71MYdZ0p4NL.jpg;https://m.media-amazon.com/images/I/71sP-kW7BsL.jpg;https://m.media-amazon.com/images/I/21yB4Hr3-AL.jpg;https://m.media-amazon.com/images/I/81ygn0AVdfL.jpg;https://m.media-amazon.com/images/I/81ic7+2Z0rL.jpg;https://m.media-amazon.com/images/I/71fpJ7OkdnL.jpg;https://m.media-amazon.com/images/I/71J+hOMcWIL.jpg,"Applaws 100% Natural Wet Cat Food, Tuna with Crab, 70g (Pack of 24)",400,24.49,24.49,22.64,-8 %,15,19,11 %,38,Pet Supplies,pet_products_display_on_website,# 1 | Top 0.02% | Tinned Cat Food,17,8 %,,4.6,286,97 %,47,2026/03/19 14:40,1000,1 %,Amazon,,26.36,97 %,97 %,3,2.12,64,yes,no,yes,yes,22.64,-8 %,1000,0 %,24.49,22.63,-8 %,0 %,29.99,29.99,0 %,1,3.82,14.99 %,3.67,27.90,25.71,-9 %,1178,,,,,,,,,no,,,,,100 %,,,,,,,,,,,,,,,,26.36,26.36,0 %,,,,,,,15,17,,,2016/07/14,2014/10/25,Applaws-100-Natural-Food-Tuna,Pet Supplies,"Tinned, Arborist Merchandising Root, Applaws, Wet food for cats, Brand - Applaws, 20% off first pet food subscription",Pet Supplies › Cats › Food › Wet › Tinned,Pet Products,091037522764,"0091037522764, 5060333434762, 5060333434779","05060333434762, 50060333434762",1026NE-A,B0FY2W3HD2,,PET_FOOD,KOMQI,Applaws,Applaws,Applaws,9104753,FlavorName: Tuna Fillet with Crab in Broth; Size: 70 g (Pack of 24);,Adult,70 g (Pack of 24),1680,gram,,Pate,Single,Tuna with Crab,,,,"Complementary food for adult cats, feed with dry food for a balanced diet",Weight Control,Supports heart and eye health,,,,,,24,,,2014-10-27,,1,yes,"[{""creator"":""Creator: Main"",""image"":""https://m.media-amazon.com/images/I/517Aw5mvyRL.jpg"",""url"":""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/5ef3aa48-6817-4ef9-8dd2-5c884dcc76ab/default.jobtemplate.hls.m3u8""}]",,yes,3909,2430,1,157,100,,"Tuna Fillet 70%, Fish broth, Crab 5%, Rice",,tuna fillet,,no,no,,no,no,no,no,no,,,-,,,,AMAZON CHECK
B07C256525,co.uk,https://m.media-amazon.com/images/I/81m3h1ksj3L.jpg;https://m.media-amazon.com/images/I/41aVdRaA0qL.jpg;https://m.media-amazon.com/images/I/51DSkOFpfoL.jpg;https://m.media-amazon.com/images/I/51WxT0fajfL.jpg;https://m.media-amazon.com/images/I/91rsfsM0McL.jpg;https://m.media-amazon.com/images/I/91KvQppjTvL.jpg;https://m.media-amazon.com/images/I/919+OBBY8NL.jpg;https://m.media-amazon.com/images/I/81wkv+1kbML.jpg;https://m.media-amazon.com/images/I/81TT57CRHUL.jpg;https://m.media-amazon.com/images/I/71vZq0jLt-L.jpg,BAKERS Superfoods Small Dog Adult Dry Dog Food Chicken 2.85kg (Pack of 4),50,31.20,31.20,31.81,2 %,4,42,21 %,51,Pet Supplies,pet_products_display_on_website,# 3 | Top 0.02% | Dry Dog Food,33,4 %,,4.7,512,95 %,25,2026/03/08 17:28,3,17 %,BrightDealsDirect (98%) / AYW8R8AA66KEP,,39.20,62 %,62 %,4,1.19,8,yes,no,yes,yes,31.78,2 %,8,17 %,31.20,33.05,6 %,0 %,31.20,34.40,9 %,3,6.00,15 %,4.68,39.71,39.50,-1 %,53,,,,,,,,,no,,,,,100 %,,,,,,,,,,,,,,,,39.20,39.20,0 %,,,,,,,4,4,,,2022/12/15,2018/04/09,Bakers-Small-Chicken-2-85kg-Packaging,Pet Supplies,Dry,Pet Supplies › Dogs › Food › Dry,Pet Products,,7613036289825,07613036289825,12353930_case,B0GGJ1QN87,,PET_FOOD,Nestle Purina,Bakers,Bakers,Bakers,8432204,FlavorName: Small Dog Chicken; Size: 2.85 kg (Pack of 4);,2.85 kg (Pack of 1),2.85 kg (Pack of 4),11400,gram,,Pellet,,,,,,"main meal, small dog",Main Meal,Supports natural defences and digestive health,,,,,,4,,,2018-05-21,,1,yes,"[{""creator"":""Creator: Main"",""image"":""https://m.media-amazon.com/images/I/51jR9odklQL.jpg"",""url"":""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/e03f444c-3ede-4441-b5b7-f902990b49fb/default.jobtemplate.hls.m3u8""}]",,yes,33573,11700,1,28566,2850,,"Cereals (Wholegrains* 44%) Meat and Animal Derivatives (18% of which 4% Chicken) Vegetable Protein Extracts Derivatives of Vegetable Origin Oils and Fats Glycerol Vegetables* ** (1% Dried Spinach, 0.3% Dried Pea and 0.3% Dried Carrot) Minerals Spirulina* (0.2%)",,"Wholegrains, Country Vegetables, Spirulina",,no,no,,no,no,no,no,no,,,-,,20 %,,AMAZON CHECK
B086DRVRDN,co.uk,https://m.media-amazon.com/images/I/81tm6aqhwCL.jpg;https://m.media-amazon.com/images/I/414CNljI4PL.jpg;https://m.media-amazon.com/images/I/81P-tGgt1kL.jpg;https://m.media-amazon.com/images/I/71M2aoo01XL.jpg;https://m.media-amazon.com/images/I/81kUjBHRYbL.jpg;https://m.media-amazon.com/images/I/81lz25anzjL.jpg;https://m.media-amazon.com/images/I/91xQUnqGwFL.jpg,Encore 100% Natural Wet Cat Food Multipack Fish Selection in Broth 4 x 12 x 70g (Total 48 Tins),200,44.00,44.00,41.90,-5 %,14,54,33 %,59,Pet Supplies,pet_products_display_on_website,# 2 | Top 0.04% | Tinned Cat Food,36,39 %,,4.5,796,81 %,20,2026/03/18 20:32,679,1 %,Amazon,,47.09,80 %,80 %,26,3.45,54,yes,no,yes,no,42.79,-3 %,679,0 %,44.00,39.51,-11 %,0 %,49.99,50.17,0 %,15,4.57,15 %,6.60,48.34,46.47,-4 %,41,,,,,,,,,no,,,,,100 %,,,,,,,,,,,,,,,,47.09,47.09,0 %,,,,,,,14,18,,,2020/06/18,2020/03/26,Encore-Natural-Multpack-Fishi-Selection,Pet Supplies,Tinned,Pet Supplies › Cats › Food › Wet › Tinned,Pet Products,,5060122496964,05060122496964,ENC1104-1EN,B0FF4WSXNW,,PET_FOOD,MPM Products,Encore,Encore,Encore,ENC1104-1EN,FlavorName: Fish Selection in Broth; Size: 70 g (Pack of 48);,,70 g (Pack of 48),3360,gram,,Tinned,,Tin,,,Cats,Cat health and well-being,"Skin and Coat Health,Hip and Joint Support,Immune Support,Sensitive Skin,Sensitive Stomach,Allergy Relief,Weight Management,Bones & Cartilage,Muscle Care",Promotes cat's overall health,,,,,,48,,,,,1,yes,"[{""creator"":""Creator: Main"",""image"":""https://m.media-amazon.com/images/I/B1S0BLukGWL.png"",""url"":""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/6ff4ea10-cd38-423c-87bd-a68848ac2276/default.jobtemplate.hls.m3u8""}]",,yes,8476,4960,1,,3400,,"ENC1005-1EN (Mackerel 45%, Tuna fillet 30%, Fish broth, Rice), ENC1008-1EN (Tuna fillet 55%, Fish broth, Shrimp 20%, Rice), ENC1014-1EN (Sardine 40%, Tuna fillet 35%, Fish broth, Rice).",,100% Natural,,no,no,,no,no,no,no,no,,,-,,,,AMAZON CHECK
B092WGWR7N,co.uk,https://m.media-amazon.com/images/I/61gL35LwTJL.jpg;https://m.media-amazon.com/images/I/61RDAKrDS7L.jpg;https://m.media-amazon.com/images/I/617teCazMfL.jpg;https://m.media-amazon.com/images/I/61GfVxtwxGL.jpg;https://m.media-amazon.com/images/I/71ny+l+xkTL.jpg;https://m.media-amazon.com/images/I/61zhbhArTeL.jpg,FRONTLINE Plus Flea & Tick Treatment for Cats and Ferrets - 6 Pipettes,10000,28.89,28.89,26.55,-9 %,9,44,9 %,80,Pet Supplies,pet_products_display_on_website,# 1 | Top 0.38% | Cat Flea Drops,40,6 %,,4.3,13440,-2 %,-,2026/03/19 00:28,6,1 %,Amazon,,42.99,92 %,92 %,5,2.74,22,yes,no,yes,yes,26.54,-9 %,6,0 %,28.89,26.47,-9 %,0 %,36.98,34.60,-7 %,17,1.89,14.99 %,4.33,31.74,29.00,-9 %,1215,,,,,,,,,no,,,23.58,,43 %,,23.82,,,22.22,,,,,,,,,23.67,,42.99,42.99,0 %,,,,,,,9,9,,4,2021/04/19,2021/04/19,FRONTLINE-Plus-Flea-Treatment-Ferrets,Pet Supplies,"Flea Drops, Top Brands Pet Care, Everyday Essentials: Pets, Health for cats, Brand - Frontline, Pet Health Supplies, Pet Grooming, Pet Care & Health",Pet Supplies › Cats › Flea & Tick Control › Topical Treatments › Flea Drops,Pet Products,,5012917012194,,USP3394,,B0BCK8FS1W,PET_PEST_CONTROL,Boehringer Ingelheim,FRONTLINE,FRONTLINE,FRONTLINE®,USP3394,,Clear,6 Pipettes,6,count,Unscented,Liquid,Wormer,Plus,,,,,Active,,,,,,Target,1,,,,,0,no,,,yes,321,50,1,282,40,No Components,,Fipronil,,,no,no,,no,no,no,no,no,,,-,,10 %,,AMAZON CHECK
B076WRVJMQ,co.uk,https://m.media-amazon.com/images/I/81WKRwZufjL.jpg;https://m.media-amazon.com/images/I/810deZg0YcL.jpg;https://m.media-amazon.com/images/I/715-MZJiYDL.jpg;https://m.media-amazon.com/images/I/71NxM8adM4L.jpg;https://m.media-amazon.com/images/I/71bghTB9C9L.jpg;https://m.media-amazon.com/images/I/51wyt1EHU3L.jpg;https://m.media-amazon.com/images/I/418KEMdRYvL.jpg;https://m.media-amazon.com/images/I/51jCSluggyL.jpg,Good Boy - Chewy Twists With Chicken - Dog Treats - Made With 100% Natural Chicken Breast Meat - 320 Grams - Gluten Free Dog Treats (Case of 3),3000,20.97,20.97,21.26,1 %,14,49,8 %,70,Pet Supplies,pet_products_display_on_website,# 3 | Top 0.01% | Dog Biscuits & Snacks,45,2 %,,4.6,3893,59 %,200,2026/03/18 07:56,8,1 %,Amazon,,30.69,86 %,86 %,7,0.78,30,yes,no,yes,yes,21.19,1 %,8,5 %,20.55,20.98,2 %,0 %,24.18,23.80,-2 %,51,3.30,15.02 %,3.15,20.55,21.80,6 %,1621,,,,,,,,,no,,,,,100 %,,,,,,,,,,,,,,,,30.69,30.69,0 %,,,,,,,14,14,,,2019/05/02,2015/05/27,Good-Boy-Waggles-Twists-Chicken,Pet Supplies,"Cookies, Biscuits & Snacks","Pet Supplies › Dogs › Treats › Cookies, Biscuits & Snacks",Pet Products,,5000239556304,05000239556304,05630,B09DTFQY8W,"B09WRTMZ9H,B06XWTZJW7",PET_FOOD,Armitage Pet Care,Good Boy,Good Boy,GoodBoy,05000239556304,FlavorName: Chicken; Size: 320 g (Pack of 3);,,320 g (Pack of 3),960,gram,,Twists,,Single,,,Dogs,,Skin and Coat Health,,,,,,Target,3,,,,English: Ingredients; English,1,yes,"[{""creator"":""Creator: Main"",""image"":""https://m.media-amazon.com/images/I/51JSCX2ayVL.jpg"",""url"":""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/92490b58-9b57-46b0-95dd-58261a601edb/default.jobtemplate.hls.m3u8""}]",,yes,5112,1130,1,6552,962,,"Ingredients: Composition: Chicken (60%), Rawhide (33%), Tapioca Starch, Glycerin, Salt. Analytical Constituents: Crude Protein 72%, Fat Content 2%, Crude Fibre 1%, Crude Ash 2.5%, Moisture 18%.",,Rawhide,,no,no,,no,no,no,no,no,,,-,,,,AMAZON CHECK
B0757T151C,co.uk,https://m.media-amazon.com/images/I/8186Cq+d7OL.jpg;https://m.media-amazon.com/images/I/81SQSPKAeEL.jpg;https://m.media-amazon.com/images/I/81uqM4A-WUL.jpg;https://m.media-amazon.com/images/I/81S4AymfvnL.jpg;https://m.media-amazon.com/images/I/81kxWNXpZcL.jpg;https://m.media-amazon.com/images/I/71x2MzH8B9L.jpg;https://m.media-amazon.com/images/I/81rbLxvyvlL.jpg,Lily’s Kitchen Made with Natural Ingredients Adult Dry Dog Food Shepherd’s Pie Balanced Recipe 12kg Bag,300,69.29,69.29,62.96,-10 %,7,46,-9 %,65,Pet Supplies,pet_products_display_on_website,# 4 | Top 0.02% | Dry Dog Food,50,6 %,,4.4,1651,75 %,104,2026/03/19 13:28,1000,1 %,Amazon,,87.80,34 %,34 %,9,3.23,12,yes,no,yes,yes,63.29,-9 %,1000,1 %,69.29,62.87,-10 %,0 %,69.29,64.99,-7 %,23,6.15,14.99 %,10.39,86.04,82.89,-4 %,65,,,,,,,,,no,,,,,100 %,,,,,,,,,,,,,,,,87.80,87.80,0 %,,,-2 %,,,,7,11,,,2017/09/05,2017/08/30,Lilys-Kitchen-Adult-Lamb-Complete,Pet Supplies,"Dry, Lily's Kitchen, Dry food for dogs, Brand - Lily's Kitchen",Pet Supplies › Dogs › Food › Dry,Pet Products,,5060184244916,05060184244916,DLPKG12,B0CZ4N83WG,B005VBOFJA,PET_FOOD,Lily's Kitchen,Lily's Kitchen,Lily's Kitchen,LilysKitchen,DLPKG12,FlavorName: Lamb; Size: 12 kg (Pack of 1);,Lovely Lamb,12 kg (Pack of 1),12000,gram,,Pellet,Single,12 kg,,,,"Adult Dog Feeding, Joint Support & Digestion","Immune Support,Joints",Comprehensive and balanced cereal free recipe with joint and digestive health benefits,,,,,,1,,,,English,1,yes,"[{""creator"":""Creator: Main"",""image"":""https://m.media-amazon.com/images/I/A1LRuGBVmCL.jpg"",""url"":""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/2d4193c3-5706-4663-abc4-c7ee05c9e78c/default.jobtemplate.hls.m3u8""}]",,yes,27156,12153,1,41625,12000,,"Composition: 32% Freshly Prepared: Lamb (27%), Lamb Liver (5%). Sweet Potatoes, Potatoes (16%), Pea Protein, Potato Protein,Whole Peas (4%), Whole Lentils, Flaxseed, Lamb Gravy, Minerals, Botanicals & Herbs* (1%), Sunflower Oil, Pea Fibre, Prebiotics (Mannan Oligosaccharides 2g/kg, Fructooligosaccharides 1.2g/kg), Joint Care Mix (Methylsulfonylmethane 200mg/kg, Chondroitin Sulphate 200mg/kg, Glucosamine 200mg/kg), Carrots, Parsley (0.01%), Cranberries, Apples, Spinach. *Botanicals & Herbs: Alfalfa, Chickweed, Cleavers, Goldenrod, Nettles, Seaweed, Dandelion Root, Celery Seeds, Milk Thistle, Burdock Root, Marigold Flowers, Rosehips.",,Lamb,,no,no,,no,no,no,no,no,,,-,,,,PRICE CHECK; AMAZON CHECK
B0CRQPV8MS,co.uk,https://m.media-amazon.com/images/I/71VqAzbfMcL.jpg;https://m.media-amazon.com/images/I/61wxyk1gT1L.jpg;https://m.media-amazon.com/images/I/71rGugBSo6L.jpg;https://m.media-amazon.com/images/I/71SHvI+gXVL.jpg;https://m.media-amazon.com/images/I/71YcWQI8mCL.jpg;https://m.media-amazon.com/images/I/71OcXBvLyUL.jpg;https://m.media-amazon.com/images/I/71Rx1N1a+yL.jpg;https://m.media-amazon.com/images/I/71sXpIv1FtL.jpg;https://m.media-amazon.com/images/I/51AXg1WrV-L.jpg,"Tapo C200 2-Pack 1080p Pan/Tilt Indoor Camera, Baby Monitor, Motion Detection, Customizable Privacy Mode, 2-Way Talk, Night Vision, Cloud and Local Storage, Works With Alexa and Google, No Monthly Fee",400,37.99,,38.03,0 %,4,86,-26 %,83,Pet Supplies,pet_products_display_on_website,# 2 | Top 0.02% | Pet Cameras,108,18 %,,4.5,210,99 %,50,2026/03/16 15:12,1,2 %,WECONNECT DIRECT (94%) / A2CCKPYCQBYJQ8,,47.99,59 %,59 %,2,1.63,67,yes,no,yes,no,37.88,,,34 %,37.99,38.04,0 %,0 %,37.99,41.38,8 %,81,3.05,7 %,2.66,54.52,53.37,-2 %,1,,,,,,36.99,,,no,,36.99,39.84,7 %,32 %,36.99,39.83,7 %,,,,,,,,,,,,,47.99,47.99,0 %,,,,,,,6,3,2,1,2024/01/15,2024/01/07,Tapo-Security-Monitor-Rotational-C200P2,Pet Supplies,"Pet Cameras, Internet Famous - Pets",Pet Supplies › Dogs › Pet Cameras,Personal Computer,,4895252501742,04895252501742,Tapo C200P2,B0FT95FKFF,,SECURITY_CAMERA,TP-Link,Tapo,Tapo,Tapo,Tapo C200P2,Style: 2MP 2 Pack;,White,,,,,,,2MP 2 Pack,,,,Baby Monitoring,,,,,,,,1,,,,,1,yes,"[{""creator"":""Creator: Main"",""image"":""https://m.media-amazon.com/images/I/7143agwE2DL.jpg"",""url"":""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/52d381eb-ecb6-4ff6-b9be-1050f7621e42/default.vertical.jobtemplate.hls.m3u8""}]",,yes,6527,870,1,873,870,Tapo C200 Camera,,,,,no,no,,no,no,no,no,no,,,-,,,,
B09BG46L4M,co.uk,https://m.media-amazon.com/images/I/71Hs2B13f0L.jpg;https://m.media-amazon.com/images/I/51GcVbtwy-L.jpg;https://m.media-amazon.com/images/I/71ugXx+U3JL.jpg;https://m.media-amazon.com/images/I/81YtIVr6eZL.jpg;https://m.media-amazon.com/images/I/81444xmAltL.jpg;https://m.media-amazon.com/images/I/8102yXaYEoL.jpg,"Churu by INABA Cat Treat - Variety Bucket 700g (50 x 14g) / Chicken Flavour, Soft & Creamy Cat Treat, Delicious & Healthy Snack for Cats, Hand Feeding, Natural, Grain Free, High in Moisture",50,31.61,32.01,30.55,-3 %,5,237,22 %,112,Pet Supplies,pet_products_display_on_website,# 4 | Top 0.28% | Soft Cat Treats,186,-4 %,,4.4,2236,69 %,134,2026/03/19 19:44,4,0 %,GreenThumb Technology (98%) / AQTKQYWTD2SC3,,33.24,95 %,95 %,3,4.52,65,yes,no,yes,yes,30.49,-5 %,1000,1 %,30.57,28.61,-7 %,0 %,31.61,34.93,10 %,4,3.09,14.99 %,4.74,37.56,33.37,-13 %,419,,,,,,,,,no,,,,,100 %,,,,,,,,,,,,,,,,33.24,33.26,0 %,,,,,,,5,3,,,2022/05/13,2021/07/29,Churu-Variety-Bucket-Chicken-Varieties,Pet Supplies,"Soft Treats, CML-Pets",Pet Supplies › Cats › Treats › Snacks › Soft Treats,Pet Products,,8859387701589,08859387701589,EU152,B0DLPGQJKS,,PET_FOOD,INABA,INABA,INABA,INABA,EU152,FlavorName: Chicken; Size: 14 g (Pack of 50);,Orange,14 g (Pack of 50),700,gram,,Liquid,,PET_FOOD,,,Cats,"Hand-feeding, Treat, Food Topper, Training, Appetite Stimulation","Training,Appetite Stimulation,Weight Management,Immune Support","Various flavor options, high moisture content, low calorie and creamy and irresistible texture",,,,,Target,50,,,,English: Published; French: Published; French: Subtitled; English: Ingredients; German: Original Language,1,yes,"[{""creator"":""Creator: Main"",""image"":""https://m.media-amazon.com/images/I/91geoy15O6L.png"",""url"":""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/8b848d82-7e54-4eed-8527-6373a8fe4210/default.jobtemplate.hls.m3u8""}]",,yes,2731,950,1,2880,700,,Limited-Ingredients,,Green Tea Extract,,no,no,,no,no,no,no,no,,,-,,,,AMAZON CHECK
B0C6CCBSGB,co.uk,https://m.media-amazon.com/images/I/51Yq+ZZlAxL.jpg;https://m.media-amazon.com/images/I/61U0hDn5CfL.jpg;https://m.media-amazon.com/images/I/61iximv7NQL.jpg,PRO Plan Vet Canine FORTIFLORA PROBIOTICO 30X1GR,5000,21.69,,21.97,1 %,11,211,9 %,77,Pet Supplies,pet_products_display_on_website,# 3 | Top 0.24% | Dog Probiotic Supplements,192,-16 %,,4.7,759,-24 %,-,2026/03/18 22:20,1000,1 %,Pet Drugs Online (96%) / A32HMNP2U03655,GB,-,0 %,94 %,6,2.08,46,no,no,yes,yes,,,,100 %,21.69,21.51,-1 %,0 %,23.99,23.32,-3 %,1247,2.94,14.98 %,3.25,21.69,21.82,1 %,54,,,,,,,,,no,,,,,100 %,,,,,,,,,,,,,,,,,,,,,,,,,11,10,,,2023/07/17,2023/07/04,Plan-Canine-FORTIFLORA-PROBIOTICO-30X1GR,Pet Supplies,"Probiotics, Pet Health Supplies",Pet Supplies › Dogs › Health Supplies › Supplements & Vitamins › Probiotics,Office Product,,8445290041111,,,,B07K18P237,OFFICE_PRODUCTS,PURINA,Purina,,,,,,,30,gram,,,,,,,,,,,,,,,Office Product,1,,,2019-06-01,English: Published,0,no,,,no,327,70,1,70000,,,,,,,no,no,,no,no,no,no,no,,,-,,,,
