asin,sale_price,profit,bsr,est_sales,max_cost,breakeven,offers,fba,fbm,amazon_on_listing,gated,hazmat,amazon_bb,private_label,total_fees
B001Q1HPGE,45.99,33.82,3,100+/mo,27.05,4.56,16,6,10,Y,Y,No,Not seen in 6 mths,Unlikely,12.17
B002D0WXXW,34.98,26.03,3,300+/mo,20.82,2.50,,,,Y,N,,-,-,8.95
B09CTLJ43V,24.29,16.11,3,100+/mo,12.88,4.56,,,,Y,N,,-,-,8.18
B0CF2RRBW5,24.49,18.67,3,300+/mo,14.93,4.07,,,,Y,N,,-,-,5.82
B07BL4S7B3,32.99,23.21,4,300+/mo,18.56,3.97,,,,Y,N,,-,-,9.78
B06WP82MQX,24.99,13.59,4,200+/mo,10.58,8.35,,,,Y,N,,-,-,11.40
B0C5X2G933,52.99,37.47,4,200+/mo,29.97,7.09,3,3,0,Y,Y,No,Probably,This product has few historic sellers which is a sign it could be PL,15.52
B0CK4ZHMPZ,23.05,14.83,4,200+/mo,11.83,4.26,,,,Y,N,,-,-,8.22
B005SBMSJW,22.79,15.00,4,300+/mo,12.00,3.97,,,,Y,N,,-,-,7.79
B08J8988BR,27.87,19.09,4,100+/mo,15.26,4.05,,,,Y,N,,-,-,8.78
B0DLBP7PQ6,32.18,20.48,4,300+/mo,16.38,6.17,,,,Y,N,,-,-,11.70
B0BR5M78XS,22.49,14.37,4,100+/mo,11.36,4.90,,,,Y,N,,-,-,8.12
B08621RJ47,25.45,17.05,4,300+/mo,13.64,4.58,,,,Y,N,,-,-,8.40
B08VBY3JR9,23.43,14.87,4,200+/mo,11.87,4.54,,,,Y,N,,-,-,8.56
B088K5BJYX,21.99,13.70,4,100+/mo,10.69,5.22,,,,Y,N,,-,-,8.29
B0CK4YHL3W,22.30,13.95,4,50+/mo,10.94,4.54,,,,Y,N,,-,-,8.35
B095WGBHZZ,23.99,15.85,4,50+/mo,12.68,4.58,,,,Y,N,,-,-,8.14
B07Y5L7MVS,27.12,17.88,4,200+/mo,14.30,4.54,,,,Y,N,,-,-,9.24
B0DJ14BNNT,29.99,21.94,4,100+/mo,17.55,2.55,,,,Y,N,,-,-,8.05
B093SR8833,ERROR,,,,,,,,,,,,,,
B011QLVZ9Q,22.99,15.03,4,200+/mo,12.02,3.98,,,,Y,N,,-,-,7.96
B0041TU01A,22.97,14.77,4,200+/mo,11.77,4.24,,,,Y,N,,-,-,8.20
B086TRPX7Y,43.99,30.12,4,50+/mo,24.09,7.09,,,,Y,N,,-,-,13.87
B0DYJTLMY1,20.99,12.06,4,50+/mo,9.06,6.22,,,,Y,N,,-,-,8.93
B097MGLW5R,30.86,20.94,4,200+/mo,16.74,5.22,,,,Y,N,,-,-,9.92
B0888GKW11,26.32,17.88,4,100+/mo,14.30,3.97,,,,Y,N,,-,-,8.44
B07F45V5L9,28.68,19.81,5,200+/mo,15.84,3.97,,,,Y,N,,-,-,8.87
B0F52R7Q9Z,29.99,20.50,5,50+/mo,16.39,4.90,,,,Y,N,,-,-,9.49
B08FYVRBSL,50.80,35.68,5,100+/mo,28.54,7.09,,,,Y,N,,-,-,15.12
B0DT99LF5Z,22.48,14.38,5,50+/mo,11.38,4.87,,,,Y,N,,-,-,8.10
B0002ZFOS6,27.13,19.62,5,100+/mo,15.69,2.50,,,,Y,N,,-,-,7.51
B07QP6X9FQ,20.99,13.42,5,50+/mo,10.41,4.05,,,,Y,N,,-,-,7.57
B0CVKZMCD6,22.52,14.79,5,200+/mo,11.79,3.97,,,,Y,N,,-,-,7.73
B08JYZ6GG2,39.98,28.65,5,50+/mo,22.92,4.90,,,,Y,N,,-,-,11.33
B006ZN21SU,36.47,26.10,5,100+/mo,20.88,4.05,,,,Y,N,,-,-,10.37
B001A2X7WU,28.99,19.94,4,100+/mo,15.95,4.56,,,,Y,N,,-,-,9.05
B0F7Y8QJKZ,57.99,39.87,5,50+/mo,31.89,9.16,,,,Y,N,,-,-,18.12
B0F7XLZVNF,49.99,35.03,6,50+/mo,28.02,7.09,,,,Y,N,,-,-,14.96
B07NY8QWCG,22.99,14.79,6,200+/mo,11.79,4.87,,,,Y,N,,-,-,8.20
B0CRDX4NR2,39.99,28.39,5,200+/mo,22.70,5.22,,,,Y,N,,-,-,11.60
B00O4BL1JA,43.50,29.16,6,100+/mo,23.32,6.77,,,,Y,N,,-,-,14.34
B000KB2YUI,22.95,15.14,6,50+/mo,12.11,3.97,,,,Y,N,,-,-,7.81
B07FTMQYGV,20.79,14.43,7,100+/mo,11.42,2.55,,,,Y,N,,-,-,6.36
B01N7VZQZW,40.95,30.10,6,50+/mo,24.08,3.64,,,,Y,N,,-,-,10.85
B083M5HJ8P,20.45,12.72,6,400+/mo,9.72,4.24,,,,Y,N,,-,-,7.73
B09VXYZVLJ,40.95,27.11,6,100+/mo,21.69,6.73,,,,Y,N,,-,-,13.84
B01JOZHJEG,23.55,15.56,6,100+/mo,12.44,3.52,,,,Y,N,,-,-,7.99
B07FXKWMRH,22.45,14.35,6,100+/mo,11.35,4.24,,,,Y,N,,-,-,8.10
B0002AR0DI,31.23,21.51,6,100+/mo,17.20,4.90,,,,Y,N,,-,-,9.72
B09V1T2RK9,24.49,16.32,6,50+/mo,13.05,4.05,,,,Y,N,,-,-,8.17
B09XWF4HN9,28.19,20.77,6,100+/mo,16.61,2.20,,,,Y,N,,-,-,7.42
B09WRSDNRV,20.00,12.07,6,100+/mo,9.06,4.54,,,,Y,N,,-,-,7.93
B0DJDDGKRW,21.95,14.32,6,200+/mo,11.31,3.97,,,,Y,N,,-,-,7.63
B0D7Q79H65,24.95,17.04,6,50+/mo,13.63,3.64,,,,Y,N,,-,-,7.91
B0CLN8DPR9,34.99,22.25,6,100+/mo,17.79,7.74,,,,Y,N,,-,-,12.74
B08CTCT46T,21.95,14.25,6,100+/mo,11.24,4.05,,,,Y,N,,-,-,7.70
B07YTHTKTH,24.99,17.83,7,50+/mo,14.26,2.59,,,,Y,N,,-,-,7.16
B00ZC54WA2,26.99,18.05,6,50+/mo,14.43,4.90,,,,Y,N,,-,-,8.94
B00UVBK98G,20.95,13.38,7,50+/mo,10.37,4.56,,,,Y,N,,-,-,7.57
B0DL5V75XF,32.89,20.53,7,100+/mo,16.42,7.74,,,,Y,N,,-,-,12.36
B0B2R45PHN,20.29,10.77,7,100+/mo,7.77,6.17,,,,Y,N,,-,-,9.52
B003L6HZGW,30.00,20.77,7,100+/mo,16.61,3.97,,,,Y,N,,-,-,9.23
B003ZGBZ46,19.91,12.52,7,100+/mo,9.51,4.58,,,,Y,N,,-,-,7.39
B0DQY7C5PG,20.69,13.17,7,50+/mo,10.16,4.56,,,,Y,N,,-,-,7.52
B082T1DXN5,29.95,18.75,8,50+/mo,15.00,6.97,,,,Y,N,,-,-,11.20
B002LYGZQQ,21.99,13.97,7,50+/mo,10.97,4.24,,,,Y,N,,-,-,8.02
B01AK476FW,24.99,16.73,7,100+/mo,13.38,4.05,,,,Y,N,,-,-,8.26
B09D7BKBMQ,33.75,23.57,8,50+/mo,18.85,4.24,,,,Y,N,,-,-,10.18
B01MRSR0K1,32.99,23.20,8,50+/mo,18.55,4.58,,,,Y,N,,-,-,9.79
B0D9KJ6NTM,29.75,20.31,8,100+/mo,16.24,4.87,,,,Y,N,,-,-,9.44
B003WF4YDE,20.99,13.42,8,100+/mo,10.41,4.00,,,,Y,N,,-,-,7.57
B01I3IUWHQ,38.45,27.41,8,100+/mo,21.92,4.24,,,,Y,N,,-,-,11.04
B0CHBKS1H9,24.79,16.57,8,50+/mo,13.25,4.05,,,,Y,N,,-,-,8.22
B0D791C3JP,30.99,21.04,8,100+/mo,16.83,5.22,,,,Y,N,,-,-,9.95
B09P8VNKRQ,24.99,17.60,8,100+/mo,14.07,4.37,,,,Y,N,,-,-,7.39
B093273FQY,34.99,24.57,9,50+/mo,19.65,4.90,,,,Y,N,,-,-,10.42
B01F04HQ3E,24.42,16.61,9,50+/mo,13.28,3.64,,,,Y,N,,-,-,7.81
B0F197T78M,37.99,24.20,9,50+/mo,19.36,8.35,,,,Y,N,,-,-,13.79
B008H2VG0G,21.75,11.97,9,50+/mo,8.96,7.09,,,,Y,N,,-,-,9.78
B0DMTQD7QS,20.99,11.34,9,50+/mo,8.34,6.17,,,,Y,N,,-,-,9.65
B087D69CDD,25.69,16.99,9,50+/mo,13.59,4.24,,,,Y,N,,-,-,8.70
B0BCJ7BSH6,24.97,16.13,10,100+/mo,12.90,5.22,,,,Y,N,,-,-,8.84
B009GODTTK,64.97,47.25,7,100+/mo,37.79,7.09,,,,Y,N,,-,-,17.72
B08MGVTMKS,21.50,13.57,10,50+/mo,10.56,4.26,,,,Y,N,,-,-,7.93
B0020K966M,29.44,20.31,10,50+/mo,16.24,4.56,,,,Y,N,,-,-,9.13
B07K7W3MBK,32.95,23.23,10,50+/mo,18.58,4.05,,,,Y,N,,-,-,9.72
B07F44G1LS,21.15,13.67,10,50+/mo,10.67,3.97,8,8,0,Y,Y,No,Never on Listing,Unlikely,7.48
B00OB9R6HQ,23.00,15.04,10,50+/mo,12.03,3.98,,,,Y,N,,-,-,7.96
B0D3G2Y9T2,26.99,18.05,11,50+/mo,14.43,4.90,,,,Y,N,,-,-,8.94
B00ALGBHQ4,24.74,16.47,11,50+/mo,13.17,4.56,,,,Y,N,,-,-,8.27
B0F9FFS9ZV,36.99,21.83,11,100+/mo,17.46,10.25,,,,Y,N,,-,-,15.16
B000YK5W18,22.90,15.10,11,50+/mo,12.07,3.97,,,,Y,N,,-,-,7.80
B003ZG8ECW,31.99,22.37,11,100+/mo,17.89,4.59,,,,Y,N,,-,-,9.62
B09TL57MR7,27.96,19.15,11,50+/mo,15.32,4.05,,,,Y,N,,-,-,8.81
B0847M8545,22.73,14.95,11,50+/mo,11.95,3.46,,,,Y,N,,-,-,7.78
B083FBGDJM,54.96,39.86,11,50+/mo,31.89,7.55,,,,Y,N,,-,-,15.10
B0DHRTT4BL,22.99,14.51,11,100+/mo,11.50,5.22,,,,Y,N,,-,-,8.48
B097PK2PGB,29.99,18.70,12,50+/mo,14.95,7.09,,,,Y,N,,-,-,11.29
B0CWYJ2Q6J,24.99,16.73,10,50+/mo,13.38,4.05,,,,Y,N,,-,-,8.26
B0CHWDWK4S,29.95,20.85,12,50+/mo,16.68,3.97,,,,Y,N,,-,-,9.10
B007BNZZLI,21.99,14.21,13,50+/mo,11.21,3.98,,,,Y,N,,-,-,7.78
B08T7THZ69,26.77,19.57,12,50+/mo,15.65,2.25,,,,Y,N,,-,-,7.20
B08LB1RKLV,26.68,18.06,12,50+/mo,14.45,4.56,,,,Y,N,,-,-,8.62
B0034YQ738,42.45,30.93,12,50+/mo,24.74,4.56,,,,Y,N,,-,-,11.52
B0021WRJFE,28.99,19.94,12,50+/mo,15.95,3.97,,,,Y,N,,-,-,9.05
B009L4RBV2,33.07,23.28,8,50+/mo,18.62,4.05,,,,Y,N,,-,-,9.79
B00AR3EWT0,26.99,18.43,13,50+/mo,14.74,3.97,,,,Y,N,,-,-,8.56
B000RXY4H0,29.20,19.86,13,50+/mo,15.89,4.87,,,,Y,N,,-,-,9.34
B07RK3TP8D,24.99,16.81,13,100+/mo,13.44,3.97,,,,Y,N,,-,-,8.18
B004SBLK06,29.89,21.80,13,50+/mo,17.44,3.53,,,,Y,N,,-,-,8.09
B084G9FXVV,23.99,15.87,14,50+/mo,12.69,4.05,,,,Y,N,,-,-,8.12
B0BCGF295Z,25.39,14.41,14,50+/mo,11.41,7.74,,,,Y,N,,-,-,10.98
B018EMJOVG,21.95,14.32,14,50+/mo,11.31,3.97,,,,Y,N,,-,-,7.63
B0C5F41Y4S,23.34,15.46,14,100+/mo,12.36,3.97,,,,Y,N,,-,-,7.88
B010UNMS9M,20.95,13.51,17,50+/mo,10.51,3.97,,,,Y,N,,-,-,7.44
B004UBLBV2,21.17,13.68,14,50+/mo,10.68,3.97,,,,Y,N,,-,-,7.49
B0055AIGA6,29.00,21.37,17,50+/mo,17.09,2.28,,,,Y,N,,-,-,7.63
B003ZEJI2E,23.14,14.91,14,50+/mo,11.90,4.24,,,,Y,N,,-,-,8.23
B00028PDO8,29.99,21.16,15,50+/mo,16.92,3.64,,,,Y,N,,-,-,8.83
B0DJHRWTL9,29.99,20.50,14,50+/mo,16.39,4.90,,,,Y,N,,-,-,9.49
B09WDRR7NC,20.73,10.69,15,50+/mo,7.68,6.65,,,,Y,N,,-,-,10.04
B0050JM626,28.43,19.89,14,50+/mo,15.90,3.64,,,,Y,N,,-,-,8.54
B0090B18G0,23.88,15.83,17,50+/mo,12.66,4.05,,,,Y,N,,-,-,8.05
B0D3VG2VMJ,34.99,24.31,18,50+/mo,19.44,5.22,,,,Y,N,,-,-,10.68
