supplier,ean,asin,product_name,match_type,buy_cost,market_price,fees_current,fees_conservative,profit_current,profit_conservative,margin_current,margin_conservative,sales_estimate,decision,decision_reason,risk_flags
Tomy,5011666723719,B00U42LTDG,"Aquadoodle Classic Large Water Doodle Mat, Official Tomy No Mess Colouring & Drawing Game, Suitable for Toddlers and Children - Boys & Girls 18 Months, 2, 3, 4+ Year Olds, Pink, T72371",UNIT,15.852,24.99,5.0592,5.0592,4.0787999999999975,4.0787999999999975,0.1632172869147658,0.1632172869147658,,REVIEW,Gated status unknown; Review flags: AMAZON_ON_LISTING,AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Learning Resources,5055506414672,B0FHQR4S6D,"Learning Resources Numberblocks Sing-Along Superhero Octoblock, Numbers for Toddlers, Preschool Maths Learning Toys, Stuffed Animal Plushies, Counting Blocks Stuffies, Kids Birthday Gifts Ages 3+",UNIT,20.964,32.97,7.928796999999999,7.928796999999999,4.077203000000001,4.077203000000001,0.1236640279041553,0.1236640279041553,50.0,REVIEW,Gated status unknown; Review flags: AMAZON_ON_LISTING,AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Hasbro,5010996319821,B0DMWMLMTT,Transformers CYBERWORLD Cyber Changers Dinobot Snarl Action Figure,UNIT,5.244,13.99,4.751298,4.751298,3.994702,3.994702,0.2855398141529664,0.2855398141529664,50.0,REVIEW,Gated status unknown; Review flags: AMAZON_ON_LISTING,AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Learning Resources,5055506413101,B0DHZYBJG8,"Learning Resources Numberblocks One to Five Sensory Bottles, Action Figure Set, Toy Figures & Playsets, Counting Blocks, Fidget for Kids, Sensory Resources",UNIT,16.896,27.24,7.123276,7.123276,3.220723999999997,3.220723999999997,0.1182350954478706,0.1182350954478706,300.0,REVIEW,Gated status unknown; Review flags: AMAZON_ON_LISTING,AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Learning Resources,5055506411442,B0C7H175SL,"Learning Resources Sing-Along Numberblock Five Plush Interactive Toy, Ages 3–6, Counting Toy, Light-Up Hand & 12 Songs Including Theme Tune. Gifts For Kids",UNIT,19.2,29.87,7.5305,7.5305,3.1395000000000017,3.1395000000000017,0.1051054569802478,0.1051054569802478,50.0,REVIEW,Gated status unknown; Review flags: AMAZON_ON_LISTING,AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Learning Resources,5055506414719,B0F3PBJZQG,"Learning Resources Numberblock Ten Playful Pal Plush, Numbers for Toddlers, Preschool Maths Learning Toys, Stuffed Animal Plushies, Counting Blocks Stuffies, Kids Birthday Gifts, Ages 18 months+",UNIT,18.072,29.04,7.846,7.846,3.122,3.122,0.1075068870523416,0.1075068870523416,50.0,REVIEW,Gated status unknown; Review flags: AMAZON_ON_LISTING,AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Learning Resources,5055506414795,B0F3P8P7L5,"Learning Resources Numberblocks Dominoes Set, Dominos for Kids, Domino & Tile Games, Toddler Matching Game, Counting Toys, EYFS Maths Materials, Preschool Learning Activities",UNIT,18.072,28.96,7.826896,7.826896,3.061104000000004,3.061104000000004,0.1057011049723758,0.1057011049723758,,REVIEW,Gated status unknown; Review flags: AMAZON_ON_LISTING,AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Learning Resources,5055506408664,B09HL16NVT,"Learning Resources MathLink Cubes Numberblocks 11–20 Activity Set, Ages 3+, Numberblocks Toys, Build & Learn Early Maths with 30 Activities",UNIT,23.16,33.81,8.121500000000001,8.121500000000001,2.528500000000001,2.528500000000001,0.0747855664004732,0.0747855664004732,300.0,REJECT,"Unprofitable — current £2.53, conservative £2.53 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Learning Resources,5055506411466,B0CF243P1T,"Learning Resources Numberblocks Step Squad Mission Headquarters Deluxe Playset, Ages 3+, Numberblocks Toy, Imaginative Spy Play with Collectible Figure & Hidden Features",UNIT,23.4,34.46,8.649,8.649,2.4110000000000014,2.4110000000000014,0.0699651770168311,0.0699651770168311,50.0,REJECT,"Unprofitable — current £2.41, conservative £2.41 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Learning Resources,5055506413088,B0CY2XFMSH,Learning Resources Numberblocks Sheep Farm Activity Set,UNIT,12.552,20.61,5.743561,5.743561,2.3144389999999984,2.3144389999999984,0.1122968947113051,0.1122968947113051,50.0,REJECT,"Unprofitable — current £2.31, conservative £2.31 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
