supplier,ean,asin,product_name,match_type,buy_cost,market_price,fees_current,fees_conservative,profit_current,profit_conservative,margin_current,margin_conservative,sales_estimate,decision,decision_reason,risk_flags
Ravensburger,4005555004448,B0CQ7YLC3G,Ravensburger Disney Gifts - Group Photo 1000 Piece Jigsaw Puzzle for Adults and Kids Age 10 Years +,UNIT,9.54,15.99,5.4600990000000005,5.4600990000000005,0.9899009999999996,0.9899009999999996,0.0619075046904315,0.0619075046904315,50.0,REJECT,"Unprofitable — current £0.99, conservative £0.99 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Ravensburger,4005555018452,B0FSLC9LCG,"Ravensburger Art Studio 500 Piece Jigsaw Puzzle – Colourful Collage of Art Supplies for Adults & Teens, Relaxing Creative Hobby & Mindful Gift",UNIT,5.94,10.99,4.069599,4.069599,0.9804009999999996,0.9804009999999996,0.0892084622383985,0.0892084622383985,,REJECT,"Unprofitable — current £0.98, conservative £0.98 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Ravensburger,4005555018476,B0FSLH3LD5,"Ravensburger Summer Love 500 Piece Jigsaw Puzzle – Premium Quality Large Puzzle for Adults & Families – Relaxing Mindful Hobby, Beautiful Lakeside Scene with Dogs, Swans & Mountains",UNIT,5.94,10.99,4.069599,4.069599,0.9804009999999996,0.9804009999999996,0.0892084622383985,0.0892084622383985,50.0,REJECT,"Unprofitable — current £0.98, conservative £0.98 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Ravensburger,4005555006992,B0CW1NTFV1,Ravensburger Aimee Stewart The Archaeologist’s Desk 500 Piece Jigsaw Puzzle for Adults and Kids Age 10 Years Up,UNIT,5.94,10.99,4.069599,4.069599,0.9804009999999996,0.9804009999999996,0.0892084622383985,0.0892084622383985,,REJECT,"Unprofitable — current £0.98, conservative £0.98 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Ravensburger,4005555006787,B0D4QZPFGJ,Ravensburger Grandad's Garden 500 Piece Jigsaw Puzzle for Adults and Kids Age 10 Years Up,UNIT,5.94,10.99,4.069599,4.069599,0.9804009999999996,0.9804009999999996,0.0892084622383985,0.0892084622383985,,REJECT,"Unprofitable — current £0.98, conservative £0.98 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Ravensburger,4005555005902,B0D4QY2Z8F,Ravensburger Two of a Kind 500 Piece Jigsaw Puzzle for Adults and Kids Age 10 Years Up,UNIT,5.94,10.99,4.069599,4.069599,0.9804009999999996,0.9804009999999996,0.0892084622383985,0.0892084622383985,,REJECT,"Unprofitable — current £0.98, conservative £0.98 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Tomy,0796714720463,B0FFVRXQ3F,"TOMY Warhammer Space Marine Mega Plush, Large Soft Collectible Figure, MkX Tacticus Armour Design, Officially Licensed, Ultramarine Style, Gift for Fans, Ages 12+, Warhammer 40,000 Toy",UNIT,20.988,30.0,8.043,8.043,0.9690000000000047,0.9690000000000047,0.0323000000000001,0.0323000000000001,,REJECT,"Unprofitable — current £0.97, conservative £0.97 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Aurora,5034566610163,B07LBLH84F,AURORA Sparkle Tales Spirit Alicorn 7In 61016 Multi-coloured,UNIT,7.56,13.16,4.640052,4.640052,0.9599479999999998,0.9599479999999998,0.072944376899696,0.072944376899696,,REJECT,"Unprofitable — current £0.96, conservative £0.96 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Ravensburger,4005555017547,B0FNWDK9C7,"Ravensburger Summer Garden 1000 Piece Jigsaw Puzzle by Georgia Breeze – Premium Adult Puzzle with Vibrant Garden Scene, Precision-Cut Pieces",UNIT,8.34,14.75,5.46955,5.46955,0.9404500000000002,0.9404500000000002,0.0637593220338983,0.0637593220338983,50.0,REJECT,"Unprofitable — current £0.94, conservative £0.94 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Ravensburger,4005555017240,B0FSLLQ5QR,"Ravensburger The Village Farrier 1000 Piece Jigsaw Puzzle – Trevor Mitchell Countryside Scene, Village Life Nostalgic Puzzle for Adults & Families",UNIT,8.34,14.75,5.46955,5.46955,0.9404500000000002,0.9404500000000002,0.0637593220338983,0.0637593220338983,,REJECT,"Unprofitable — current £0.94, conservative £0.94 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Ravensburger,4005555011651,B0DK1RZC93,Ravensburger Ray’s Comic Series 1000 Piece Jigsaw Puzzle – Funny Holiday Resort Cartoon by Artist Ray Nicholson – Family Puzzle for Adults & Teens,UNIT,8.34,14.75,5.46955,5.46955,0.9404500000000002,0.9404500000000002,0.0637593220338983,0.0637593220338983,50.0,REJECT,"Unprofitable — current £0.94, conservative £0.94 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Ravensburger,4005555017134,B0FSLFZS12,"Ravensburger The Birds' Banquet 1000 Piece Jigsaw Puzzle – Debbie Cook Wildlife Garden Scene – Colourful Birds, Butterflies & Nature Puzzle for Adults and Families",UNIT,8.34,14.75,5.46955,5.46955,0.9404500000000002,0.9404500000000002,0.0637593220338983,0.0637593220338983,50.0,REJECT,"Unprofitable — current £0.94, conservative £0.94 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Ravensburger,4005555011668,B0DWN8DG59,Ravensburger Ray's Comic Series - Time Travel No. 1 Classic Era 1000 Piece Jigsaw Puzzles for Adults and Kids Age 12 Years Up,UNIT,8.34,14.75,5.46955,5.46955,0.9404500000000002,0.9404500000000002,0.0637593220338983,0.0637593220338983,50.0,REJECT,"Unprofitable — current £0.94, conservative £0.94 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Ravensburger,4005556118403,B078NCM85W,"Ravensburger Children's Globe, 72 piece 3D Jigsaw Puzzle - Collectable Toys and Gifts for Kids and Adults Age 6 Years Up",UNIT,6.6,11.99,4.449699,4.449699,0.9403010000000008,0.9403010000000008,0.0784237698081735,0.0784237698081735,,REJECT,"Unprofitable — current £0.94, conservative £0.94 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Learning Resources,5055506411459,B0CC5YJJQB,"Learning Resources Numberblocks Friends Six to Ten, Play Figures, Official Collectible Figures for Kids Aged 3 and Up",UNIT,14.652,21.94,6.348806,6.348806,0.9391940000000004,0.9391940000000004,0.0428073837739289,0.0428073837739289,1000.0,REJECT,"Unprofitable — current £0.94, conservative £0.94 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Ravensburger,4005555019817,B0FSLG64ZY,Ravensburger 1000 Piece Jigsaw Puzzle – Down the Lane No. 6 Canal Side Lane by Dominic Davidson - Countryside Pub & Canal Scene Puzzle for Adults,UNIT,8.34,14.75,5.473974999999999,5.473974999999999,0.9360250000000008,0.9360250000000008,0.0634593220338983,0.0634593220338983,50.0,REJECT,"Unprofitable — current £0.94, conservative £0.94 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Aurora,5034566321199,B01J5QXEAM,"Aurora, 32119, Brachiosaurus Dinosaur, 15.5In, Soft Toy, Blue, 39 cm",UNIT,10.08,17.05,6.039205000000001,6.039205000000001,0.9307949999999998,0.9307949999999998,0.0545920821114369,0.0545920821114369,,REJECT,"Unprofitable — current £0.93, conservative £0.93 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Aurora,5034566615557,B0CLS3BW5W,"Aurora, 61555, Moomin Standing with Daffodil 6.5In, Soft Toy, White",UNIT,7.56,13.1,4.63238,4.63238,0.9076200000000004,0.9076200000000004,0.0692839694656489,0.0692839694656489,100.0,REJECT,"Unprofitable — current £0.91, conservative £0.91 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
