supplier,supplier_sku,ean,product_name,match_type,supplier_price_basis,case_qty,unit_cost_ex_vat,unit_cost_inc_vat,case_cost_ex_vat,case_cost_inc_vat,decision,decision_reason,risk_flags
Price-List,LORCONMTC332,30173422,L'Oreal Infaillible More Than Concealer - 332 Amber,UNIT,UNIT,51,5.3,6.359999999999999,270.3,324.36,REJECT,No Amazon match found,
Price-List,LOPPMC6,3600523500246,L'Oreal Paris True Match Concealer - 6.D/W Golden Honey,UNIT,UNIT,17,1.15,1.38,19.549999999999997,23.459999999999997,REJECT,No Amazon match found,
Price-List,LORCONTRM3DW,3600523500222,L'Oreal True Match Concealer - 3.D/W Golden Beige,UNIT,UNIT,17,3.6,4.32,61.2,73.44,REJECT,No Amazon match found,
Price-List,O-LORCONTM6DW,3600523500246,L'Oreal Paris True Match Concealer 6D/W Golden Honey,UNIT,UNIT,12,1.4,1.68,16.799999999999997,20.159999999999997,REJECT,No Amazon match found,
Price-List,LOPPMC7,3600523500253,L'Oreal True Match Concealer 7.D/W Golden Amber,UNIT,UNIT,17,1.5,1.7999999999999998,25.5,30.599999999999998,REJECT,No Amazon match found,
Price-List,LORCONTRM911,3600523918638,L'Oreal True Match Concealer - 9-11.N Truffle,UNIT,UNIT,17,0.7,0.84,11.899999999999999,14.279999999999998,REJECT,No Amazon match found,
Price-List,LORCONTRUNAT,3600523919284,L'Oreal True Match SPF20 Eye Cream in a Concealer - 3-5.N Natural Beige,UNIT,UNIT,17,2.0,2.4,34.0,40.8,REJECT,No Amazon match found,
Price-List,LORCONTRUMESP,3600523918683,L'Oreal True Match SPF20 Eye Cream in a Concealer - 10-12 Espresso,UNIT,UNIT,17,0.6,0.72,10.2,12.239999999999998,REJECT,No Amazon match found,
Price-List,S-LORCONTRM759D,3600523918584,[NO LABEL] L'Oreal Paris True Match Concealer Eye Cream - 7.5-9D,UNIT,UNIT,12,1.65,1.9799999999999998,19.799999999999997,23.759999999999994,REJECT,No Amazon match found,
Price-List,S-LORCONTRM911,3600523918638,[NO LABEL] L'Oreal True Match Concealer - 9-11.N Truffle,UNIT,UNIT,17,0.9,1.08,15.3,18.36,REJECT,No Amazon match found,
