ASIN,Title,Brand,Amazon URL,Category,Weight Flag,Current Price,Buy Box 90d Avg,Price Drop % 90d,BSR Current,BSR 90d Avg,BSR Drops 90d,Bought per Month,FBA Seller Count,FBA Seller 90d Avg,Amazon on Listing,Fulfilment Fee,Amazon Fees,Total Amazon Fees,Est Cost 65%,Est Profit,Est ROI %,Max Cost 20% ROI,Breakeven Price,Buy Box Amazon %,BB Seller,BB Is FBA,Star Rating,Review Count,Image Count,Has A+ Content,Bullet Count,Listing Quality,Brand 1P,Gated,SAS Flags,Pre-filter Flags,Data Source,EAN,UPC,GTIN
B008H1YUWI,Puppy Feeding Bowl - feeder station (MEDIUM 14 cm x 56 cm x 32 cm 3Kgs),Petnap,https://www.amazon.co.uk/dp/B008H1YUWI,Pet Supplies,OK,50.39,50.39,0.0%,29274,66863,14,0,2,0,N,5.85,8.53,14.38,32.75,3.26,9.9%,30.01,47.13,0%,Petnap Ltd (54%) / A2PFJ59RHC4RZD,no,4.4,49,2,Y,5,AVERAGE,Y,-,MAYBE-ROI,LOW SELLER CHECK,KEEPA,5060318010004,,
B0DSFSTDWK,Peanuts in Shells 11.3kg Premium Safe Wild Bird Food Monkey Nuts Afflotoxin Free,MALTBYS' STORES 1904 LTD,https://www.amazon.co.uk/dp/B0DSFSTDWK,Pet Supplies,HEAVY,28.99,29.92,3.0%,29280,33643,22,0,2,0,N,5.77,5.22,10.99,18.84,-0.85,-4.5%,15.00,29.84,0%,Maltbys Stores (96%) / A2UNARK72ZQK2,no,4.8,15,9,Y,5,STRONG,N,-,MAYBE-ROI,LOW SELLER CHECK,KEEPA,5056473454067,,
B0F1MVCSX5,"120 Count Cat Litter Box Bags for Neakasa and PetPivot Open Self-Cleaning Cat Litter Boxes, Extra Thick Heavy Duty Liners Replacement, Unscented, 27"" x 13"", Holds 22 lbs",Loveishere,https://www.amazon.co.uk/dp/B0F1MVCSX5,Pet Supplies,OK,45.86,46.95,2.0%,27218,39596,24,0,2,0,N,3.34,7.83,11.17,29.81,4.88,16.4%,28.91,40.98,0%,Amazon US (0%) / A2KVF7QXNCLV8H,no,4.7,272,8,N,4,AVERAGE,N,-,MAYBE-ROI,LOW SELLER CHECK,KEEPA,,,
B0CL3R7QFT,"SCENEREAL Winter Dog Vest Coat with Harness Built In, Warm Puppy Jacket for Small Medium Dogs, Cold Weather Coats with Zipper, Fleece Puffer Vest Windproof Snow Clothes, Olive M",Scenereal,https://www.amazon.co.uk/dp/B0CL3R7QFT,Pet Supplies,OK,31.31,31.19,0.0%,38414,16983,12,0,2,0,N,2.90,5.59,8.49,20.35,2.47,12.1%,19.02,28.84,0%,Amazon US (0%) / A2KVF7QXNCLV8H,no,4.4,249,7,Y,5,STRONG,N,-,MAYBE-ROI,LOW SELLER CHECK,KEEPA,,,
B0FFDY7GH6,"Petastical Skullcap Valerian, Cat Dog Calming, Anxiety Calming Drops, Home Alone, Barking, Loud Noises, Fireworks, Travel (60ml)",Petastical,https://www.amazon.co.uk/dp/B0FFDY7GH6,Pet Supplies,OK,23.99,23.99,0.0%,41477,20943,11,0,2,0,N,2.72,4.46,7.18,15.59,1.22,7.8%,14.01,22.77,0%,Marod Enterprises Ltd (100%) / A224OM8HM,yes,4.0,20,5,N,4,AVERAGE,N,-,MAYBE-ROI,LOW SELLER CHECK,KEEPA,5065010208506,,
B07N41GVHJ,TVM Carbodote 100ml,TVM,https://www.amazon.co.uk/dp/B07N41GVHJ,Pet Supplies,OK,24.49,23.90,-2.0%,29299,19926,44,0,3,0,N,2.94,4.53,7.47,15.92,1.10,6.9%,14.18,23.39,0%,Pet Drugs Online (96%) / A32HMNP2U03655,no,4.5,19,3,N,3,WEAK,N,-,MAYBE-ROI,,KEEPA,3700454501555,,03700454501555
B077PR9JW7,Concept for Life Maine Coon Adult. A Healthy Well-Balanced Cat Food,Concept,https://www.amazon.co.uk/dp/B077PR9JW7,Pet Supplies,HEAVY,61.63,61.67,0.0%,29306,55990,24,0,8,0,N,7.39,10.45,17.84,40.06,3.73,9.3%,36.49,57.90,0%,Goliath Hive (63%) / A12L3A9J543ST0,no,4.1,9,2,N,3,WEAK,N,-,MAYBE-ROI,,KEEPA,0756843260971,756843260971,
B00SJY7M8M,Felix As Good As It Looks Cat Food Kitten Mixed Selection in Jelly Wet Cat Food 12x100g (Pack of 4),Felix,https://www.amazon.co.uk/dp/B00SJY7M8M,Pet Supplies,OK,26.99,27.97,4.0%,29314,50478,21,0,4,0,N,3.43,4.91,8.34,17.54,1.11,6.3%,15.54,25.88,0%,ORGANCY (76%) / A1VYQ154ME9UDZ,no,4.7,8,1,N,3,WEAK,N,-,MAYBE-ROI,,KEEPA,7613032723606,,07613032723606
B007FEHNTU,"Marriage's Farmyard Layers Pellets – 20kg Bag | Non-GM Complete Feed for Laying Hens, Ducks & Geese | Promotes Strong Shells & Golden Yolks",Marriage's,https://www.amazon.co.uk/dp/B007FEHNTU,Pet Supplies,HEAVY,21.00,20.64,-2.0%,29347,24927,29,0,2,0,N,6.15,3.99,10.14,13.65,-2.79,-20.4%,9.05,23.79,0%,J P Morris (88%) / A1W5YZ6L27WKK6,no,4.7,4,1,N,3,WEAK,N,-,MAYBE-ROI,LOW SELLER CHECK,KEEPA,5011259921256,,
B0B9X5KZ24,"BTINESFUL 12FT 20FT 30FT 50FT Reflective Dog Tie Out for 2 Dogs, No Tangle 20ft by 1/3 Inch Nylon Rope Long Tether for Two Dogs, Dog Trolley Runner for Yard Outdoor Camping (20 ft x 1/3"", Blue)",BTINESFUL,https://www.amazon.co.uk/dp/B0B9X5KZ24,Pet Supplies,OK,25.20,26.19,4.0%,72099,116818,5,0,2,0,N,3.00,4.64,7.64,16.38,1.18,7.2%,14.63,24.02,0%,xinyangshiyangshanxinquhongchengshangmao,no,4.5,525,7,N,4,AVERAGE,N,-,MAYBE-ROI,LOW SELLER CHECK,KEEPA,6973481364661,,
