ASIN,Title,Brand,Amazon URL,Category,Weight Flag,Current Price,Buy Box 90d Avg,Price Drop % 90d,BSR Current,BSR 90d Avg,BSR Drops 90d,Bought per Month,FBA Seller Count,FBA Seller 90d Avg,Amazon on Listing,Fulfilment Fee,Amazon Fees,Total Amazon Fees,Est Cost 65%,Est Profit,Est ROI %,Max Cost 20% ROI,Breakeven Price,Buy Box Amazon %,BB Seller,BB Is FBA,Star Rating,Review Count,Image Count,Has A+ Content,Bullet Count,Listing Quality,Brand 1P,Gated,SAS Flags,Pre-filter Flags,Data Source,EAN,UPC,GTIN,Demand Score,Stability Score,Competition Score,Margin Score,Composite Score,Cash Flow Score,Profit Score,Balanced Score,Opportunity Lane,Commercial Priority,Monthly Gross Profit,Price Compression,Lane Reason,Verdict,Verdict Reason,Brand Seller Match,Fortress Listing,Brand Type,A+ Content Present,Brand Store Present,Category Risk Level,IP Risk Score,IP Risk Band,IP Reason
B0DT44NLVM,"Magnetopia Magnetic Blocks - 150PCS Magnetic Building Blocks Cubes Adventurer, Magnet Toys for Kids Stacking Construction Birthday Gifts for Boys Girls Age 4-8, 8-12",Magnetopia,https://www.amazon.co.uk/dp/B0DT44NLVM,Toys & Games,,24.99,26.68,6.0%,23638,11195,94,100,3,0,N,2.72,3.64,6.36,16.24,2.39,14.7%,15.52,22.60,0%,WITCH FEVER LTD (100%) / A3JG7TWWN2REQ7,yes,4.8,35,6,Y,5,STRONG,N,-,MAYBE-ROI,,KEEPA,0702291184956,702291184956,,9,10,8,0,7.3,9.5,4.4,7.7,CASH FLOW,1,449.30,OK,CASH FLOW | GBP449.30/mo | 188/mo | GBP2.39 unit profit | stable | 3 sellers,MAYBE,CASH FLOW | 188/mo | GBP2.39 profit | GBP449.30 monthly gross | stable | 3 sellers,NO,NO,GENERIC,YES,UNLIKELY,HIGH,2,Low,A+ content | Category HIGH risk
B095J3PK5Y,Wildspire Fantasy Miniatures - Bookish Dragon for D&D & Pathfinder 28-32mm Bulk Miniatures,Wildspire,https://www.amazon.co.uk/dp/B095J3PK5Y,Toys & Games,,32.41,33.41,3.0%,12257,11331,76,100,2,0,N,3.04,5.75,8.79,21.07,2.55,12.1%,19.68,29.86,0%,Wildspire (97%) / A2BQDH5QNXILLF,yes,4.6,1393,8,Y,5,STRONG,Y,-,MAYBE-ROI,LOW SELLER CHECK,KEEPA,,,00195893382460,10,10,7,0,7.4,8,3.9,6.4,CASH FLOW,1,387.60,OK,CASH FLOW | GBP387.60/mo | 152/mo | GBP2.55 unit profit | stable | 2 sellers,MAYBE,CASH FLOW | 152/mo | GBP2.55 profit | GBP387.60 monthly gross | stable | 2 sellers,YES,NO,ESTABLISHED,YES,LIKELY,HIGH,7,High,Brand=Seller match (YES) | Established brand | A+ content | Likely brand store | Category HIGH risk
B0C3ZQNPCZ,"Baby Annabell Sweet Dreams Bed, Doll Bed with Light-Up Canopy, Mattress, Matching Pillow and Blanket for 43cm Dolls, Plays a Lullaby, For Children Aged 3+, 710302 Zapf Creation",Baby Annabell,https://www.amazon.co.uk/dp/B0C3ZQNPCZ,Toys & Games,,39.99,42.33,6.0%,14586,12611,65,100,3,0,Y,4.15,6.92,11.07,25.99,2.92,11.2%,24.10,37.07,99%,Amazon,yes,4.5,325,15,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK,KEEPA,4001167710302,,04001167710302,10,10,5,0,7,7.9,3.8,6.3,CASH FLOW,1,379.60,OK,CASH FLOW | GBP379.60/mo | 130/mo | GBP2.92 unit profit | stable | 3 sellers,MAYBE,CASH FLOW | 130/mo | GBP2.92 profit | GBP379.60 monthly gross | stable | 3 sellers,NO,NO,GENERIC,YES,UNLIKELY,HIGH,2,Low,A+ content | Category HIGH risk
B0D9WC3RVY,"THE TWIDDLERS 288 Boxes of Wax Crayons for Kids - 4 Per Box, 1,152 Total - Bulk Kids Crayons, Mixed Coloured Packs, Perfect for School Classrooms, Restaurants Colouring Activity, Party Bag Fillers",THE TWIDDLERS,https://www.amazon.co.uk/dp/B0D9WC3RVY,Toys & Games,,39.99,38.41,-4.0%,12426,31628,42,100,2,0,N,3.57,6.92,10.49,25.99,3.50,13.5%,24.58,36.49,0%,The Twiddlers (97%) / A1X6QJJOY8L3JH,no,4.5,36,9,Y,5,STRONG,Y,-,MAYBE-ROI,LOW SELLER CHECK,KEEPA,5060686326547,,,10,8,7,1,7,7.8,4.4,6.7,CASH FLOW,1,350.00,OK,CASH FLOW | GBP350.00/mo | 100/mo | GBP3.50 unit profit | stable | 2 sellers,MAYBE,CASH FLOW | 100/mo | GBP3.50 profit | GBP350.00 monthly gross | stable | 2 sellers,YES,NO,SYNTHETIC,YES,LIKELY,HIGH,6,Medium,Brand=Seller match (YES) | A+ content | Likely brand store | Category HIGH risk
B0DTHJ3JH8,"8 in 1 Fish Tank Building Sets, Marine Aquarium Building Toy with LED Light Animal Miniature Landscape Including Octopus Crab, Christmas Birthday Gifts for Adults Boys Girls Kid Ages 6 8 10 12+",kiothdre,https://www.amazon.co.uk/dp/B0DTHJ3JH8,Toys & Games,,27.99,27.76,-1.0%,14759,14070,58,200,2,0,N,3.04,5.07,8.11,18.19,1.68,9.3%,16.56,26.31,0%,kiothdre toys (100%) / A14FFPUXFVKWOQ,yes,4.4,205,6,Y,5,STRONG,Y,-,MAYBE-ROI,LOW SELLER CHECK,KEEPA,,,,10,8,7,0,6.8,7.7,2.4,5.7,CASH FLOW,1,336.00,OK,CASH FLOW | GBP336.00/mo | 200/mo | GBP1.68 unit profit | stable | 2 sellers,MAYBE-ROI,CASH FLOW | 200/mo | GBP1.68 profit | GBP336.00 monthly gross | stable | 2 sellers,YES,NO,GENERIC,YES,LIKELY,HIGH,6,Medium,Brand=Seller match (YES) | A+ content | Likely brand store | Category HIGH risk
B0FN49MJQG,"Lankybox Mystery Lock Box Mystery Surprise Giant Blind Box, 16 Fun Surprises Inside, Official LankyBox Merch",LankyBox,https://www.amazon.co.uk/dp/B0FN49MJQG,Toys & Games,,29.99,33.22,10.0%,12254,10465,102,100,5,0,Y,3.49,5.38,8.87,19.49,1.62,8.3%,17.60,28.37,80%,Amazon,yes,4.6,26,6,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK,KEEPA,0810054667636,810054667636,,10,10,3,0,6.6,7.6,2.4,5.7,CASH FLOW,1,330.50,OK,CASH FLOW | GBP330.50/mo | 204/mo | GBP1.62 unit profit | stable | 5 sellers,MAYBE-ROI,CASH FLOW | 204/mo | GBP1.62 profit | GBP330.50 monthly gross | stable | 5 sellers,NO,NO,GENERIC,YES,UNLIKELY,HIGH,2,Low,A+ content | Category HIGH risk
B004S2BPJG,WWE Action Figure Accessory: (Set of 5 Wrestling Props),Figures Toy Company,https://www.amazon.co.uk/dp/B004S2BPJG,Toys & Games,,33.31,35.16,5.0%,20051,21104,58,100,7,0,N,2.94,5.89,8.83,21.65,2.83,13.1%,20.40,30.48,0%,Healthy Bees (98%) / A1I88WSXKUMX55,yes,4.5,4715,4,N,3,AVERAGE,N,-,MAYBE-ROI,,KEEPA,0728028084771,728028084771,,10,10,4,0,6.8,9.1,4.3,7.5,CASH FLOW,1,328.30,OK,CASH FLOW | GBP328.30/mo | 116/mo | GBP2.83 unit profit | stable | 7 sellers,MAYBE-ROI,CASH FLOW | 116/mo | GBP2.83 profit | GBP328.30 monthly gross | stable | 7 sellers,NO,NO,ESTABLISHED,NO,UNLIKELY,HIGH,2,Low,Established brand | Category HIGH risk
B001I912SQ,"SKLZ Pro Mini Basketball Hoop, Spring-Action Break-Away Rim, 45.7 x 30.5 cm, Clear Shatter-Proof Backboard - Includes 12.7 cm Mini Basketball, Perfect for Home, Office, or Dorm Room Practice and Fun",SKLZ,https://www.amazon.co.uk/dp/B001I912SQ,Toys & Games,,34.99,36.17,3.0%,13836,13794,69,100,2,0,Y,3.93,6.15,10.08,22.74,2.17,9.5%,20.76,32.82,98%,Amazon,yes,4.3,33715,10,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK; LOW SELLER CHECK,KEEPA,0831345004015,831345004015,00831345004015,10,10,6,0,7.2,7.9,3,6.1,CASH FLOW,1,299.50,OK,CASH FLOW | GBP299.50/mo | 138/mo | GBP2.17 unit profit | stable | 2 sellers,MAYBE,CASH FLOW | 138/mo | GBP2.17 profit | GBP299.50 monthly gross | stable | 2 sellers,NO,NO,ESTABLISHED,YES,UNLIKELY,HIGH,3,Low,Established brand | A+ content | Category HIGH risk
B0F2YZJQHL,"TYCOLE Vintage Pendulum Clock Building Block Set, Stem Toy with Real Clock Function and Linkable Mechanical Pendulum, Unique Home Decoration and Collectible for Adults&Kids 6+",TYCOLE,https://www.amazon.co.uk/dp/B0F2YZJQHL,Toys & Games,,29.99,33.57,11.0%,27724,11725,64,100,2,0,N,3.05,5.38,8.43,19.49,2.06,10.6%,17.96,27.93,0%,TaiGaoLe Toys (82%) / A2N79BL4BF4OIJ,yes,4.2,185,7,Y,5,STRONG,N,-,MAYBE-ROI,LOW SELLER CHECK,KEEPA,,,,9,10,9,0,7.5,9.1,4,7.3,CASH FLOW,1,263.70,SQUEEZED,CASH FLOW | GBP263.70/mo | 128/mo | GBP2.06 unit profit | SQUEEZED | 2 sellers,MAYBE,CASH FLOW | 128/mo | GBP2.06 profit | GBP263.70 monthly gross | SQUEEZED | 2 sellers,NO,NO,SYNTHETIC,YES,UNLIKELY,HIGH,2,Low,A+ content | Category HIGH risk
B0D952JGZG,Transformers Studio Series Voyager Class The Movie Constructicon Scrapper Action Figure,Transformers,https://www.amazon.co.uk/dp/B0D952JGZG,Toys & Games,,29.99,32.17,7.0%,14694,24276,61,100,5,0,Y,3.04,5.38,8.42,19.49,2.07,10.6%,17.97,27.92,67%,Amazon,yes,4.8,648,11,N,4,AVERAGE,N,-,MAYBE-ROI,AMAZON CHECK,KEEPA,5010996301185,,,10,10,5,0,7,8.5,4.1,6.9,CASH FLOW,1,252.50,OK,CASH FLOW | GBP252.50/mo | 122/mo | GBP2.07 unit profit | stable | 5 sellers,MAYBE,CASH FLOW | 122/mo | GBP2.07 profit | GBP252.50 monthly gross | stable | 5 sellers,NO,NO,ESTABLISHED,NO,UNLIKELY,HIGH,2,Low,Established brand | Category HIGH risk
