ASIN,Title,Brand,Amazon URL,Category,Weight Flag,Current Price,Buy Box 90d Avg,Price Drop % 90d,BSR Current,BSR 90d Avg,BSR Drops 90d,Bought per Month,FBA Seller Count,FBA Seller 90d Avg,Amazon on Listing,Fulfilment Fee,Amazon Fees,Total Amazon Fees,Est Cost 65%,Est Profit,Est ROI %,Max Cost 20% ROI,Breakeven Price,Buy Box Amazon %,BB Seller,BB Is FBA,Star Rating,Review Count,Image Count,Has A+ Content,Bullet Count,Listing Quality,Brand 1P,Gated,SAS Flags,Pre-filter Flags,Data Source,EAN,UPC,GTIN
B0FLJDGRX1,"Akosuntoys Magnetic Blocks Set, 150 PCS Magnetic Building Blocks Construction Toys for 3-10 Year Old Boys Girls, Magnetic Tiles Click Blocks Game Birthday Gifts for Kids",Akosuntoys,https://www.amazon.co.uk/dp/B0FLJDGRX1,Toys & Games,,23.99,20.46,-17.0%,18316,22760,63,100,2,0,N,2.42,4.46,6.88,15.59,1.52,9.8%,14.26,22.47,0%,WILHEMINA TOYS SHOP (100%) / A1VK791T5UI,yes,4.2,24,7,Y,5,STRONG,N,-,MAYBE-ROI,PRICE CHECK; LOW SELLER CHECK,KEEPA,0768924837248,768924837248,
B0BDMS164P,"Schleich Horse Club - 34PC Stall Horse Toy Playset with Mare and Foal Figure, Cat Figurine, and Accessories - Stable Extension Set for Girls and Boys - Interactive, Realistic Kids Toys Ages 5+ | 42611",SCHLEICH,https://www.amazon.co.uk/dp/B0BDMS164P,Toys & Games,,29.99,28.40,-6.0%,18580,23253,92,100,20,0,Y,3.04,5.38,8.42,19.49,2.07,10.6%,17.97,27.92,72%,Amazon,yes,4.8,873,8,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK,KEEPA,4059433654034,,04059433654034
B0FKM878QV,"MAX Build More Premium Retro Series 2 4 Pack by ZURU – Novelty Unboxing Toy & Building Brick Collectible Minis with up to 674 Pieces, 4 Retro Designs to Build & Display, Ages 8+, Kids, Teens & Adults",Max Build More,https://www.amazon.co.uk/dp/B0FKM878QV,Toys & Games,,29.99,29.99,0.0%,15494,19803,61,100,2,0,Y,3.54,5.38,8.92,19.49,1.57,8.1%,17.56,28.42,99%,Amazon,yes,4.9,27,7,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK; LOW SELLER CHECK,KEEPA,0193052089144,193052089144,
B0FPXDDHLC,"LEGO Friends Animal Vet Clinic - Educational Toy w/a Horse Stable, 2 Mini Dolls, Pet Dog, Bunny & Cat Figures Plus Accessories - Birthday Gift for 4+ Year Old Girls - 42696",LEGO,https://www.amazon.co.uk/dp/B0FPXDDHLC,Toys & Games,,24.99,24.99,0.0%,19158,14073,56,100,18,0,Y,3.04,4.61,7.65,16.24,1.10,6.8%,14.45,23.89,99%,Amazon,yes,5.0,17,10,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK,KEEPA,"5702018099353, 5702018060469",,05702018060469
B0BDHHBXMZ,Transformers Legacy Evolution Leader Class Nova Prime 7” Action Figure For Boys And Girls Ages 8 And Up,Transformers,https://www.amazon.co.uk/dp/B0BDHHBXMZ,Toys & Games,,40.00,49.81,20.0%,19158,24893,86,100,7,0,N,3.49,6.92,10.41,26.00,3.59,13.8%,24.66,36.41,81%,docsmagic (96%) / A33SXG4HFQULNN,yes,4.8,666,7,N,4,AVERAGE,N,-,MAYBE-ROI; AMAZON DOMINANT,,KEEPA,"5010996143297, 5010996143211",,
B07BVDHMFN,Living Nature German Shepherd Soft Toy | Fluffy Dog Animal | Soft Toy Gift for Kids | 21 cm,Keycraft,https://www.amazon.co.uk/dp/B07BVDHMFN,Toys & Games,,21.99,21.11,-4.0%,19816,10278,95,100,2,0,Y,3.48,4.15,7.63,14.29,0.07,0.5%,11.97,21.92,99%,Amazon,yes,4.7,1720,9,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK; LOW SELLER CHECK,KEEPA,5037832309013,,05037832309013
B00KYUO2PU,"Winning Moves Pay Day Board Game, Will you win the lottery or win at the Family Casino night, the classic money management game for ages 8 plus",Winning Moves,https://www.amazon.co.uk/dp/B00KYUO2PU,Toys & Games,,22.24,20.43,-9.0%,19885,11204,93,100,2,0,Y,3.26,4.18,7.44,14.46,0.34,2.4%,12.33,21.90,100%,Amazon,yes,4.6,1098,6,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK; LOW SELLER CHECK,KEEPA,5036905022743,,05036905022743
B004S2BPJG,WWE Action Figure Accessory: (Set of 5 Wrestling Props),Figures Toy Company,https://www.amazon.co.uk/dp/B004S2BPJG,Toys & Games,,33.31,35.16,5.0%,20051,21104,58,100,7,0,N,2.94,5.89,8.83,21.65,2.83,13.1%,20.40,30.48,0%,Healthy Bees (98%) / A1I88WSXKUMX55,yes,4.5,4715,4,N,3,AVERAGE,N,-,MAYBE-ROI,,KEEPA,0728028084771,728028084771,
B0DL7SD7HY,"Barbie Cutie Reveal Care Bears Doll & Accessories, Series 2 Togetherness Bear with 10 Surprises Including Color Change & Mini Bear, JFV60",Barbie,https://www.amazon.co.uk/dp/B0DL7SD7HY,Toys & Games,,24.49,23.88,-3.0%,20070,15649,76,100,16,0,N,3.04,4.53,7.57,15.92,1.00,6.3%,14.10,23.49,41%,BargainMax Online Ltd (80%) / A16ZATMMFE,no,4.8,681,6,Y,5,STRONG,N,-,MAYBE-ROI,,KEEPA,0194735306268,194735306268,00194735306268
B0DL6DHLDM,"Hot Wheels Toy Monster Trucks, Sharks vs. Dinos Dragon Destruction Playset with 1:64 Scale Great Bite & Rageasaur, Race to Defeat the Cyborg Nemesis, JGB06",Hot Wheels,https://www.amazon.co.uk/dp/B0DL6DHLDM,Toys & Games,,36.70,32.54,-13.0%,20153,13368,113,100,11,0,Y,4.95,6.42,11.37,23.86,1.48,6.2%,21.11,35.22,76%,D.R-Store (100%) / A20GDBJU56KXDL,yes,4.3,460,6,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,PRICE CHECK; AMAZON CHECK,KEEPA,0194735309030,194735309030,
